Container is store 100 plants:
0: Tree: age = 44852, name = YWpSSjddfNQLoUe, GetQuotient = 0.13333333333333333
60: Flower: name = pNlVwTPYVLaYOwZZc, Type = Type.GARDEN, GetQuotient = 0.058823529411764705
61: Tree: age = 73808, name = RgszpuoSwcIYfYkUEE, GetQuotient = 0.1111111111111111
62: Tree: age = 7969, name = AxjIJRYIWBUFKXisZwKK, GetQuotient = 0.05
63: Tree: age = 90032, name = cQ, GetQuotient = 0.0
64: Bush: month = Month.DECEMBER, name = bvNRgrItRiAvhfGTdkQp, GetQuotient = 0.05
65: Tree: age = 38062, name = nr, GetQuotient = 0.0
66: Flower: name = fVZCIvJYzYWoul, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
67: Flower: name = ygRL, Type = Type.HOUSE, GetQuotient = 0.0
68: Bush: month = Month.APRIL, name = jFnVYbHrI, GetQuotient = 0.0
69: Flower: name = pHvEuGBpcCgjPBIXq, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
70: Tree: age = 4125, name = NMeeOGhJXBJ, GetQuotient = 0.18181818181818182
71: Tree: age = 41870, name = GcWEDdkRAxWsu, GetQuotient = 0.07692307692307693
72: Flower: name = rwnW, Type = Type.GARDEN, GetQuotient = 0.0
73: Bush: month = Month.OCTOBER, name = bMYwKnRZBhC, GetQuotient = 0.0
74: Tree: age = 8709, name = jDIefexNJcCjekXlwW, GetQuotient = 0.16666666666666666
75: Bush: month = Month.AUGUST, name = MiSzWhbwejFOW, GetQuotient = 0.15384615384615385
76: Bush: month = Month.MAY, name = KcbGAvCIyPDQK, GetQuotient = 0.0
77: Flower: name = NfBlaDZ, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
78: Tree: age = 5392, name = Bl, GetQuotient = 0.0
79: Flower: name = Rj, Type = Type.HOUSE, GetQuotient = 0.0
80: Bush: month = Month.FEBRUARY, name = dLZIEV, GetQuotient = 0.0
81: Bush: month = Month.JANUARY, name = IloRKCuagmI, GetQuotient = 0.2727272727272727
82: Bush: month = Month.DECEMBER, name = aPGTUOMvzigAw, GetQuotient = 0.15384615384615385
83: Bush: month = Month.FEBRUARY, name = tqCyCJCv, GetQuotient = 0.0
84: Tree: age = 50398, name = FXQlfxnOcB, GetQuotient = 0.0
85: Flower: name = kzHDsebmVylQzWUx, Type = Type.HOUSE, GetQuotient = 0.0625
86: Tree: age = 81443, name = sZvozeMOgxBDAA, GetQuotient = 0.14285714285714285
87: Bush: month = Month.AUGUST, name = yjsrhfeU, GetQuotient = 0.125
88: Tree: age = 96034, name = gpRXBjcTJFWzmrsGSpza, GetQuotient = 0.05
89: Bush: month = Month.DECEMBER, name = cIALrZDk, GetQuotient = 0.0
90: Flower: name = Fs, Type = Type.GARDEN, GetQuotient = 0.0
91: Tree: age = 96462, name = nSGPiqozHmmedRwZDxjY, GetQuotient = 0.15
92: Flower: name = tSmfhVUA, Type = Type.HOUSE, GetQuotient = 0.0
93: Flower: name = ASRLeZveMCkZWkgSfj, Type = Type.WILD, GetQuotient = 0.1111111111111111
94: Tree: age = 41062, name = hZFXrcpTJzz, GetQuotient = 0.0
95: Bush: month = Month.JULY, name = VJaLSnIlABnSxzUUU, GetQuotient = 0.058823529411764705
96: Flower: name = ZYgnnLip, Type = Type.WILD, GetQuotient = 0.125
97: Flower: name = pujrnpzKFmYPWgvAYW, Type = Type.HOUSE, GetQuotient = 0.05555555555555555
98: Tree: age = 33535, name = ZlQvcHRsQnnEZE, GetQuotient = 0.0
99: Bush: month = Month.APRIL, name = nXUZgN, GetQuotient = 0.0
