Container is store 1000 plants:
0: Bush: month = Month.APRIL, name = LWgaPSeBNgjkj, GetQuotient = 0.15384615384615385
42: Flower: name = hvYtUx, Type = Type.HOUSE, GetQuotient = 0.0
43: Tree: age = 94291, name = BaRmh, GetQuotient = 0.2
44: Bush: month = Month.APRIL, name = vuTwBhCbVPEQZBeFFCnB, GetQuotient = 0.1
45: Flower: name = XyfhGfjnuZ, Type = Type.WILD, GetQuotient = 0.1
46: Bush: month = Month.JULY, name = t, GetQuotient = 0.0
47: Bush: month = Month.JUNE, name = rYknCFFbMteN, GetQuotient = 0.08333333333333333
48: Bush: month = Month.OCTOBER, name = OwYmBBnBQKaR, GetQuotient = 0.08333333333333333
49: Bush: month = Month.DECEMBER, name = NVZFchaFtSDrQEbdcYLC, GetQuotient = 0.05
50: Bush: month = Month.NOVEMBER, name = VvofAApeTueZHhe, GetQuotient = 0.3333333333333333
51: Bush: month = Month.OCTOBER, name = YPLmoqfHXrPC, GetQuotient = 0.08333333333333333
52: Bush: month = Month.AUGUST, name = QaeXvrkoBdhkOEm, GetQuotient = 0.2
53: Flower: name = EWIzdtxQUqyYLhPTl, Type = Type.GARDEN, GetQuotient = 0.0
54: Tree: age = 85910, name = gzNGIelVIkEieZPiluAM, GetQuotient = 0.25
55: Bush: month = Month.FEBRUARY, name = MetOXCAv, GetQuotient = 0.125
56: Tree: age = 40178, name = jBhDRCDkXwMHJYbJDF, GetQuotient = 0.0
57: Tree: age = 37382, name = hFc, GetQuotient = 0.0
58: Flower: name = NwScHCbJDUpuMn, Type = Type.WILD, GetQuotient = 0.07142857142857142
59: Tree: age = 84452, name = YnYKDzpbPaYRGAg, GetQuotient = 0.06666666666666667
60: Flower: name = ys, Type = Type.HOUSE, GetQuotient = 0.0
61: Bush: month = Month.JANUARY, name = olOiLJYXq, GetQuotient = 0.2222222222222222
62: Flower: name = eYKJmoE, Type = Type.GARDEN, GetQuotient = 0.2857142857142857
63: Flower: name = cRrE, Type = Type.HOUSE, GetQuotient = 0.0
64: Bush: month = Month.AUGUST, name = QpxWg, GetQuotient = 0.0
65: Tree: age = 7062, name = h, GetQuotient = 0.0
66: Tree: age = 99204, name = krZIdzhona, GetQuotient = 0.2
67: Flower: name = dgwORHVQK, Type = Type.GARDEN, GetQuotient = 0.0
68: Flower: name = uSNPssKQpoTC, Type = Type.GARDEN, GetQuotient = 0.16666666666666666
69: Tree: age = 20825, name = rTPMjYCxnVEiUPXpuS, GetQuotient = 0.1111111111111111
70: Tree: age = 75278, name = VWhafWJZO, GetQuotient = 0.1111111111111111
71: Flower: name = pyefydQXk, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
72: Tree: age = 32268, name = Arp, GetQuotient = 0.0
73: Bush: month = Month.JUNE, name = aKPmpWMMtVZRH, GetQuotient = 0.07692307692307693
74: Tree: age = 32732, name = vgRXSgDOZjgzfU, GetQuotient = 0.0
75: Flower: name = OjEmngVzlAPUv, Type = Type.WILD, GetQuotient = 0.0
76: Flower: name = myYYGyXJM, Type = Type.HOUSE, GetQuotient = 0.0
77: Bush: month = Month.NOVEMBER, name = vlzCEQiTdkCpU, GetQuotient = 0.07692307692307693
78: Bush: month = Month.JANUARY, name = DxjiHtHysyn, GetQuotient = 0.09090909090909091
79: Bush: month = Month.APRIL, name = rgcNQleFe, GetQuotient = 0.2222222222222222
80: Tree: age = 95813, name = OVnYgZjSJXZOvDRqR, GetQuotient = 0.0
81: Tree: age = 46497, name = FXpwucAKnDY, GetQuotient = 0.09090909090909091
82: Flower: name = mBHOYT, Type = Type.WILD, GetQuotient = 0.0
83: Bush: month = Month.DECEMBER, name = KZlWJVXZpn, GetQuotient = 0.0
84: Bush: month = Month.JUNE, name = JPrGGpi, GetQuotient = 0.14285714285714285
85: Bush: month = Month.JUNE, name = kkAfMP, GetQuotient = 0.0
86: Tree: age = 18566, name = HLNVzWMriDTO, GetQuotient = 0.08333333333333333
87: Bush: month = Month.JULY, name = KdY, GetQuotient = 0.0
88: Bush: month = Month.FEBRUARY, name = ODeZZFqPlHRhlPVck, GetQuotient = 0.058823529411764705
89: Flower: name = HjMpWkyyUxcKlkQVv, Type = Type.HOUSE, GetQuotient = 0.0
90: Tree: age = 38251, name = lxPksOSyU, GetQuotient = 0.0
91: Flower: name = TwVBlXEHaI, Type = Type.WILD, GetQuotient = 0.1
92: Flower: name = mQNqq, Type = Type.WILD, GetQuotient = 0.0
93: Bush: month = Month.DECEMBER, name = yFcq, GetQuotient = 0.0
94: Tree: age = 57361, name = XrJnZP, GetQuotient = 0.0
95: Flower: name = K, Type = Type.WILD, GetQuotient = 0.0
96: Bush: month = Month.MARCH, name = IRBrBEvTWOWRsWB, GetQuotient = 0.0
97: Bush: month = Month.APRIL, name = xP, GetQuotient = 0.0
98: Flower: name = Ary, Type = Type.WILD, GetQuotient = 0.0
99: Bush: month = Month.NOVEMBER, name = VNpgs, GetQuotient = 0.0
100: Tree: age = 83813, name = yPawxCovsFPo, GetQuotient = 0.25
101: Flower: name = xKzN, Type = Type.HOUSE, GetQuotient = 0.0
102: Tree: age = 36681, name = XFtaalsxJZADwdb, GetQuotient = 0.13333333333333333
103: Flower: name = RSGAADetwVFAEWOMoymO, Type = Type.HOUSE, GetQuotient = 0.1
104: Tree: age = 32697, name = Lw, GetQuotient = 0.0
105: Bush: month = Month.APRIL, name = kMywsTpXUkYTAa, GetQuotient = 0.07142857142857142
106: Flower: name = cxUoggEpOuLR, Type = Type.WILD, GetQuotient = 0.16666666666666666
107: Flower: name = bpo, Type = Type.WILD, GetQuotient = 0.3333333333333333
108: Bush: month = Month.FEBRUARY, name = IknTaPHIofTmfREW, GetQuotient = 0.125
109: Flower: name = uVV, Type = Type.WILD, GetQuotient = 0.3333333333333333
110: Flower: name = xEQJvhXQza, Type = Type.WILD, GetQuotient = 0.1
111: Flower: name = Dbz, Type = Type.WILD, GetQuotient = 0.0
112: Bush: month = Month.FEBRUARY, name = oOyjkr, GetQuotient = 0.16666666666666666
113: Flower: name = RSbrlaYxXaIbPIDAH, Type = Type.WILD, GetQuotient = 0.11764705882352941
114: Flower: name = u, Type = Type.GARDEN, GetQuotient = 1.0
115: Bush: month = Month.JANUARY, name = PQIlGJWhQbGD, GetQuotient = 0.0
116: Flower: name = RDllbMTiNUBp, Type = Type.WILD, GetQuotient = 0.08333333333333333
117: Tree: age = 61776, name = KOgosqJaNwB, GetQuotient = 0.18181818181818182
118: Flower: name = cQGugIIUmZsHYlZyg, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
119: Bush: month = Month.AUGUST, name = qfiAZdOpDHejYWMwswxR, GetQuotient = 0.1
120: Bush: month = Month.MAY, name = ydFZZRdfpPOCgZi, GetQuotient = 0.06666666666666667
121: Tree: age = 69455, name = cYnqgvc, GetQuotient = 0.0
122: Bush: month = Month.JULY, name = bNHUNtPpUuAiVN, GetQuotient = 0.14285714285714285
123: Flower: name = CFLJEyWw, Type = Type.HOUSE, GetQuotient = 0.0
124: Tree: age = 26651, name = lDrncupAxcnejUxaQF, GetQuotient = 0.16666666666666666
125: Tree: age = 23073, name = YiTdyDJGoe, GetQuotient = 0.3
126: Tree: age = 51972, name = JVhG, GetQuotient = 0.0
127: Tree: age = 6182, name = JvhigjrEkpnc, GetQuotient = 0.08333333333333333
128: Flower: name = iNhKlEUT, Type = Type.WILD, GetQuotient = 0.125
129: Bush: month = Month.NOVEMBER, name = AJmhKYLCIvmnVdlsDGqI, GetQuotient = 0.0
130: Bush: month = Month.JULY, name = mFVAG, GetQuotient = 0.0
131: Tree: age = 19909, name = P, GetQuotient = 0.0
132: Tree: age = 84668, name = YTvZadSwUGiepTdTcZ, GetQuotient = 0.16666666666666666
133: Tree: age = 39044, name = mfwZepzXymOBGDiNS, GetQuotient = 0.11764705882352941
134: Flower: name = EVvjRd, Type = Type.WILD, GetQuotient = 0.0
135: Flower: name = wnHSGv, Type = Type.GARDEN, GetQuotient = 0.0
136: Bush: month = Month.AUGUST, name = CjpnEDBoJIeQ, GetQuotient = 0.16666666666666666
137: Bush: month = Month.JUNE, name = qGTNH, GetQuotient = 0.0
138: Tree: age = 12004, name = NgtojiJDW, GetQuotient = 0.2222222222222222
139: Bush: month = Month.JANUARY, name = EWpZrWwVvsoGWYCwMsS, GetQuotient = 0.05263157894736842
140: Flower: name = WjkdkydRaVBrXbN, Type = Type.HOUSE, GetQuotient = 0.06666666666666667
141: Bush: month = Month.NOVEMBER, name = RtBizNYUE, GetQuotient = 0.1111111111111111
142: Bush: month = Month.NOVEMBER, name = N, GetQuotient = 0.0
143: Flower: name = ACCeSpzIrfowcf, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
144: Bush: month = Month.NOVEMBER, name = RhImiAaIHOABPxzvunJz, GetQuotient = 0.15
145: Flower: name = iCC, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
146: Tree: age = 85491, name = zltZCcFfZXzpMudXt, GetQuotient = 0.058823529411764705
147: Bush: month = Month.SEPTEMBER, name = eXSRcvmrRoIbHMF, GetQuotient = 0.13333333333333333
148: Flower: name = cyzbXtLuOsrcQLGngP, Type = Type.HOUSE, GetQuotient = 0.05555555555555555
149: Tree: age = 92435, name = CkBlWZrC, GetQuotient = 0.0
150: Tree: age = 7555, name = B, GetQuotient = 0.0
151: Bush: month = Month.SEPTEMBER, name = iRJjWBjvdentdx, GetQuotient = 0.14285714285714285
152: Tree: age = 57400, name = CorVqYjuEDJOQrprceR, GetQuotient = 0.15789473684210525
153: Tree: age = 1741, name = slII, GetQuotient = 0.0
154: Flower: name = GyAjRvVag, Type = Type.WILD, GetQuotient = 0.1111111111111111
155: Bush: month = Month.JUNE, name = POMKNK, GetQuotient = 0.0
156: Bush: month = Month.JUNE, name = LlqKxLRBKJ, GetQuotient = 0.0
157: Tree: age = 27368, name = iEVxET, GetQuotient = 0.16666666666666666
158: Bush: month = Month.JANUARY, name = RIPwkvlUhWgjBJdEHPK, GetQuotient = 0.0
159: Tree: age = 39745, name = VilzVCMp, GetQuotient = 0.125
160: Bush: month = Month.APRIL, name = sGTDYuGwDePa, GetQuotient = 0.25
161: Flower: name = ZlRlGnjrXXf, Type = Type.HOUSE, GetQuotient = 0.0
162: Bush: month = Month.DECEMBER, name = UxZmyAAmI, GetQuotient = 0.0
163: Tree: age = 36326, name = wFctDPi, GetQuotient = 0.14285714285714285
164: Bush: month = Month.APRIL, name = iMXuWUErSIwaOv, GetQuotient = 0.21428571428571427
165: Bush: month = Month.FEBRUARY, name = bCAqqjcsJBuarSW, GetQuotient = 0.13333333333333333
166: Tree: age = 68067, name = OYSMhfbqZqTfTYhJy, GetQuotient = 0.0
167: Flower: name = uiHCSdB, Type = Type.WILD, GetQuotient = 0.2857142857142857
168: Flower: name = RbxCbnOeOVoqyr, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
169: Bush: month = Month.JANUARY, name = oT, GetQuotient = 0.5
170: Flower: name = Tt, Type = Type.HOUSE, GetQuotient = 0.0
171: Flower: name = pKgcoMAGDxbj, Type = Type.GARDEN, GetQuotient = 0.08333333333333333
172: Bush: month = Month.FEBRUARY, name = DGWoz, GetQuotient = 0.2
173: Tree: age = 88323, name = WKwboFtCsQ, GetQuotient = 0.1
174: Tree: age = 13577, name = i, GetQuotient = 1.0
175: Bush: month = Month.NOVEMBER, name = CasHhNlD, GetQuotient = 0.125
176: Flower: name = VF, Type = Type.GARDEN, GetQuotient = 0.0
177: Bush: month = Month.NOVEMBER, name = jx, GetQuotient = 0.0
178: Tree: age = 81899, name = JRCsTazXebvidwhR, GetQuotient = 0.1875
179: Bush: month = Month.JUNE, name = eoxQiptmOYxfXbN, GetQuotient = 0.2
180: Tree: age = 99961, name = eU, GetQuotient = 0.5
181: Bush: month = Month.MARCH, name = vEIjPPOYTbQamMWFI, GetQuotient = 0.058823529411764705
182: Tree: age = 24483, name = xGzeuDvxJ, GetQuotient = 0.2222222222222222
183: Flower: name = FZqtcjxFuNLxq, Type = Type.WILD, GetQuotient = 0.07692307692307693
184: Bush: month = Month.AUGUST, name = ZmAriNLNPj, GetQuotient = 0.1
185: Bush: month = Month.DECEMBER, name = fIRyoVVvdUykJM, GetQuotient = 0.07142857142857142
186: Flower: name = sxGZYcs, Type = Type.HOUSE, GetQuotient = 0.0
187: Flower: name = iSjlcgSEIoXDady, Type = Type.WILD, GetQuotient = 0.2
188: Bush: month = Month.FEBRUARY, name = BQwJIzbmz, GetQuotient = 0.0
189: Flower: name = O, Type = Type.GARDEN, GetQuotient = 0.0
190: Tree: age = 95296, name = uJZfTqTv, GetQuotient = 0.125
191: Flower: name = PKONkqWrxxrbBMoj, Type = Type.WILD, GetQuotient = 0.0625
192: Flower: name = yreBLUZUDMRZup, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
193: Flower: name = BhZJgZo, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
194: Flower: name = SDWJEbZZzqX, Type = Type.WILD, GetQuotient = 0.0
195: Tree: age = 78701, name = cfIKQtSSaFJNaOvct, GetQuotient = 0.11764705882352941
196: Bush: month = Month.JANUARY, name = qJIb, GetQuotient = 0.0
197: Bush: month = Month.APRIL, name = mnEztQoJ, GetQuotient = 0.125
198: Flower: name = xACCSrBzCqDNvKx, Type = Type.HOUSE, GetQuotient = 0.0
199: Bush: month = Month.JUNE, name = roklt, GetQuotient = 0.2
200: Flower: name = sMauh, Type = Type.GARDEN, GetQuotient = 0.4
201: Bush: month = Month.NOVEMBER, name = QtyiInvwvWdTK, GetQuotient = 0.07692307692307693
202: Bush: month = Month.JUNE, name = lpJPiQUNEGQPundH, GetQuotient = 0.125
203: Tree: age = 44642, name = X, GetQuotient = 0.0
204: Tree: age = 80541, name = KSJO, GetQuotient = 0.0
205: Bush: month = Month.APRIL, name = AReDcMNIsqW, GetQuotient = 0.09090909090909091
206: Bush: month = Month.APRIL, name = KvlMYomDFLPa, GetQuotient = 0.16666666666666666
207: Bush: month = Month.SEPTEMBER, name = OnkbwkgDOZ, GetQuotient = 0.0
208: Tree: age = 14111, name = yidqdHJlEOrWAHyfIDSZ, GetQuotient = 0.05
209: Flower: name = dZfHTlrIKOTyFngLqhCE, Type = Type.HOUSE, GetQuotient = 0.0
210: Bush: month = Month.APRIL, name = dMWCkBDwFwqimjgNE, GetQuotient = 0.058823529411764705
211: Bush: month = Month.JUNE, name = MNXdqdlYXgkoaJYq, GetQuotient = 0.125
212: Bush: month = Month.AUGUST, name = CFkYh, GetQuotient = 0.0
213: Tree: age = 2091, name = EgeJPIDzqknrLLXnJD, GetQuotient = 0.05555555555555555
214: Bush: month = Month.APRIL, name = FPnX, GetQuotient = 0.0
215: Bush: month = Month.AUGUST, name = PZpOCVAVjYQYCu, GetQuotient = 0.07142857142857142
216: Bush: month = Month.FEBRUARY, name = wXuGnByVKtGCFEdQU, GetQuotient = 0.058823529411764705
217: Flower: name = SlYIHgocSM, Type = Type.GARDEN, GetQuotient = 0.1
218: Flower: name = w, Type = Type.WILD, GetQuotient = 0.0
219: Tree: age = 85858, name = P, GetQuotient = 0.0
220: Bush: month = Month.MARCH, name = IZZfsypqAuTRkL, GetQuotient = 0.07142857142857142
221: Bush: month = Month.DECEMBER, name = VOVEiLbaXrsEZytaJ, GetQuotient = 0.17647058823529413
222: Flower: name = fWemhyvFDDAs, Type = Type.HOUSE, GetQuotient = 0.08333333333333333
223: Tree: age = 48923, name = TAQDATY, GetQuotient = 0.0
224: Tree: age = 54259, name = YlRW, GetQuotient = 0.0
225: Tree: age = 11399, name = TVTKpIfdEOkZijjtFURd, GetQuotient = 0.05
226: Bush: month = Month.NOVEMBER, name = eWNnLtaCRAfAsPdNfp, GetQuotient = 0.1111111111111111
227: Tree: age = 6369, name = QjrMvGrqsRHQPlhdsS, GetQuotient = 0.0
228: Bush: month = Month.MAY, name = iyzbduDesAaHBdNG, GetQuotient = 0.25
229: Flower: name = VjAeX, Type = Type.HOUSE, GetQuotient = 0.2
230: Bush: month = Month.DECEMBER, name = AAIGuj, GetQuotient = 0.16666666666666666
231: Flower: name = jJNAarG, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
232: Bush: month = Month.OCTOBER, name = XoxbLJBmduYcCDRmgtV, GetQuotient = 0.10526315789473684
233: Tree: age = 22820, name = XKoaDIMkmpmbS, GetQuotient = 0.15384615384615385
234: Tree: age = 76372, name = JyokKFJ, GetQuotient = 0.14285714285714285
235: Tree: age = 62359, name = MyCHCVbeUqqrMjLymlW, GetQuotient = 0.05263157894736842
236: Tree: age = 7070, name = dufrUd, GetQuotient = 0.16666666666666666
237: Flower: name = P, Type = Type.GARDEN, GetQuotient = 0.0
238: Tree: age = 97300, name = aJsUviw, GetQuotient = 0.2857142857142857
239: Flower: name = b, Type = Type.GARDEN, GetQuotient = 0.0
240: Bush: month = Month.JUNE, name = sdBfM, GetQuotient = 0.0
241: Flower: name = N, Type = Type.WILD, GetQuotient = 0.0
242: Bush: month = Month.SEPTEMBER, name = jVknFTqTb, GetQuotient = 0.0
243: Bush: month = Month.JUNE, name = iUlngXQCmKg, GetQuotient = 0.09090909090909091
244: Flower: name = CNbrQuX, Type = Type.WILD, GetQuotient = 0.14285714285714285
245: Flower: name = PYshZLSFviTmyH, Type = Type.GARDEN, GetQuotient = 0.07142857142857142
246: Tree: age = 56880, name = UpdhMrxNxsGIWeH, GetQuotient = 0.06666666666666667
247: Bush: month = Month.FEBRUARY, name = arJaRTcFRMYHkApl, GetQuotient = 0.125
248: Bush: month = Month.APRIL, name = ZsHdkTtzYv, GetQuotient = 0.0
249: Tree: age = 9469, name = CfBD, GetQuotient = 0.0
250: Bush: month = Month.SEPTEMBER, name = GddnovKOSUhrLslp, GetQuotient = 0.0625
251: Flower: name = JVlSTKSAnyqb, Type = Type.HOUSE, GetQuotient = 0.0
252: Bush: month = Month.JUNE, name = kvkZcpKndjYR, GetQuotient = 0.0
253: Flower: name = xAtETyaE, Type = Type.GARDEN, GetQuotient = 0.125
254: Tree: age = 90363, name = LUNGBuccxjkeMyuKVCn, GetQuotient = 0.15789473684210525
255: Flower: name = yPcnsReb, Type = Type.GARDEN, GetQuotient = 0.125
256: Flower: name = BgzrrLxvQhN, Type = Type.WILD, GetQuotient = 0.0
257: Flower: name = rGXKXsQFazcWl, Type = Type.GARDEN, GetQuotient = 0.07692307692307693
258: Flower: name = IHbLpcDdjLUHGvcIaboO, Type = Type.WILD, GetQuotient = 0.1
259: Bush: month = Month.MAY, name = kHXKnENaqIJK, GetQuotient = 0.08333333333333333
260: Tree: age = 21437, name = rJRsffdjemkodZFaEjy, GetQuotient = 0.15789473684210525
261: Flower: name = KybDRIIzBUlD, Type = Type.GARDEN, GetQuotient = 0.0
262: Bush: month = Month.FEBRUARY, name = IbnRaZsc, GetQuotient = 0.125
263: Bush: month = Month.FEBRUARY, name = DXPXxnQmHcsArKUHx, GetQuotient = 0.0
264: Tree: age = 90155, name = ZORWuKHUBtiLbEmTlgxJ, GetQuotient = 0.1
265: Bush: month = Month.NOVEMBER, name = ilbMxhSSTRdSwQfrM, GetQuotient = 0.058823529411764705
266: Tree: age = 12873, name = lwXtbl, GetQuotient = 0.0
267: Tree: age = 44721, name = xKtmxz, GetQuotient = 0.0
268: Tree: age = 89212, name = zGzCRFMUiAMEG, GetQuotient = 0.07692307692307693
269: Tree: age = 16995, name = dIADfuRvkxBJQuvjr, GetQuotient = 0.11764705882352941
270: Tree: age = 66978, name = mBBqJnGGekjF, GetQuotient = 0.08333333333333333
271: Bush: month = Month.JANUARY, name = ve, GetQuotient = 0.5
272: Bush: month = Month.MARCH, name = jnACCRm, GetQuotient = 0.0
273: Tree: age = 53983, name = b, GetQuotient = 0.0
274: Flower: name = rCSzht, Type = Type.HOUSE, GetQuotient = 0.0
275: Bush: month = Month.JANUARY, name = dYqfxzFRoAWtYPprdQ, GetQuotient = 0.05555555555555555
276: Bush: month = Month.SEPTEMBER, name = tEjJFJGjSXmT, GetQuotient = 0.0
277: Bush: month = Month.JULY, name = zsmQASu, GetQuotient = 0.14285714285714285
278: Bush: month = Month.NOVEMBER, name = mQrx, GetQuotient = 0.0
279: Bush: month = Month.AUGUST, name = ESGcGeixElsXkeD, GetQuotient = 0.2
280: Bush: month = Month.JANUARY, name = yhAHVGxojG, GetQuotient = 0.1
281: Bush: month = Month.OCTOBER, name = xtGwner, GetQuotient = 0.14285714285714285
282: Tree: age = 98489, name = ZJqDUKiAB, GetQuotient = 0.1111111111111111
283: Flower: name = Ko, Type = Type.GARDEN, GetQuotient = 0.5
284: Flower: name = VcXjU, Type = Type.WILD, GetQuotient = 0.0
285: Tree: age = 19503, name = KTdFVyMfak, GetQuotient = 0.1
286: Flower: name = bVBhlgzDaeRxDfhEr, Type = Type.GARDEN, GetQuotient = 0.11764705882352941
287: Flower: name = OCWQpnsvQj, Type = Type.HOUSE, GetQuotient = 0.0
288: Bush: month = Month.JANUARY, name = DzjxootxMiMPpmkZAlD, GetQuotient = 0.15789473684210525
289: Bush: month = Month.JANUARY, name = EmkDXW, GetQuotient = 0.0
290: Tree: age = 49444, name = C, GetQuotient = 0.0
291: Bush: month = Month.FEBRUARY, name = JPq, GetQuotient = 0.0
292: Bush: month = Month.JULY, name = YEpsorm, GetQuotient = 0.14285714285714285
293: Bush: month = Month.AUGUST, name = IQYOCmDAnnYuzrhW, GetQuotient = 0.0625
294: Flower: name = meoOTpdmgYiZgkxqA, Type = Type.GARDEN, GetQuotient = 0.17647058823529413
295: Tree: age = 39914, name = s, GetQuotient = 0.0
296: Tree: age = 66751, name = cTSgJwR, GetQuotient = 0.0
297: Bush: month = Month.AUGUST, name = oviu, GetQuotient = 0.75
298: Bush: month = Month.FEBRUARY, name = LVbI, GetQuotient = 0.0
299: Flower: name = kjG, Type = Type.WILD, GetQuotient = 0.0
300: Bush: month = Month.FEBRUARY, name = ZhGREqKRelAj, GetQuotient = 0.08333333333333333
301: Tree: age = 56671, name = Rp, GetQuotient = 0.0
302: Bush: month = Month.JUNE, name = dFIOBfejCfENZZ, GetQuotient = 0.07142857142857142
303: Bush: month = Month.AUGUST, name = uFfBqtGIwyfu, GetQuotient = 0.16666666666666666
304: Flower: name = PfawLPwa, Type = Type.HOUSE, GetQuotient = 0.25
305: Bush: month = Month.FEBRUARY, name = ZkfGLVqTcNdYQWAnPX, GetQuotient = 0.0
306: Flower: name = fWOgiBe, Type = Type.WILD, GetQuotient = 0.2857142857142857
307: Flower: name = XVaxAzrxsyH, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
308: Flower: name = GcItedtKqVcSQEHNhwfT, Type = Type.HOUSE, GetQuotient = 0.05
309: Flower: name = q, Type = Type.HOUSE, GetQuotient = 0.0
310: Tree: age = 66514, name = QRIIfaGUFcXveUiVsdte, GetQuotient = 0.2
311: Bush: month = Month.JULY, name = DwLFkBWLa, GetQuotient = 0.1111111111111111
312: Flower: name = YaYeSsveovYRo, Type = Type.WILD, GetQuotient = 0.38461538461538464
313: Flower: name = DczGVRQ, Type = Type.HOUSE, GetQuotient = 0.0
314: Tree: age = 98756, name = NFuzcmlkJESaIdglEuH, GetQuotient = 0.15789473684210525
315: Bush: month = Month.FEBRUARY, name = pKpJZlCHnEmAjPIrOJho, GetQuotient = 0.05
316: Tree: age = 80786, name = eWUhJiQFV, GetQuotient = 0.2222222222222222
317: Bush: month = Month.OCTOBER, name = KjH, GetQuotient = 0.0
318: Tree: age = 96920, name = ybeDYUKiWaiQITbm, GetQuotient = 0.25
319: Tree: age = 14474, name = mJJhBnWftvBaL, GetQuotient = 0.07692307692307693
320: Flower: name = uuTJXAW, Type = Type.WILD, GetQuotient = 0.2857142857142857
321: Tree: age = 93764, name = i, GetQuotient = 1.0
322: Flower: name = WmmgwWxmyWFrtfMy, Type = Type.GARDEN, GetQuotient = 0.0
323: Tree: age = 73193, name = FEEnmbj, GetQuotient = 0.0
324: Flower: name = ChPqBecpwGNMf, Type = Type.GARDEN, GetQuotient = 0.07692307692307693
325: Flower: name = ZAazkVuDwCKT, Type = Type.HOUSE, GetQuotient = 0.16666666666666666
326: Tree: age = 19069, name = LNOPUSbfepjP, GetQuotient = 0.08333333333333333
