Container is store 10000 plants:
0: Tree: age = 74581, name = XwFnuYs, GetQuotient = 0.14285714285714285
57: Tree: age = 67036, name = PWHYdAXJm, GetQuotient = 0.0
58: Bush: month = Month.NOVEMBER, name = EaAsLiFouruNVforNIHs, GetQuotient = 0.3
59: Bush: month = Month.DECEMBER, name = GSWjHZgiaQcCufZJ, GetQuotient = 0.1875
60: Tree: age = 50117, name = TveSqH, GetQuotient = 0.16666666666666666
61: Flower: name = acXgEc, Type = Type.WILD, GetQuotient = 0.16666666666666666
62: Bush: month = Month.AUGUST, name = P, GetQuotient = 0.0
63: Tree: age = 45911, name = mWNyRLxoNJfFGRV, GetQuotient = 0.06666666666666667
64: Bush: month = Month.AUGUST, name = CUOntTLaGvbTZcPpaCrc, GetQuotient = 0.1
65: Tree: age = 1126, name = eYs, GetQuotient = 0.3333333333333333
66: Flower: name = sSawSDGrdYIy, Type = Type.HOUSE, GetQuotient = 0.08333333333333333
67: Flower: name = ltBdblKKVRfuEGfXgPzE, Type = Type.WILD, GetQuotient = 0.05
68: Bush: month = Month.SEPTEMBER, name = ErUxleQZYqWd, GetQuotient = 0.08333333333333333
69: Bush: month = Month.JUNE, name = ODwiPdbGXtrhFRERtF, GetQuotient = 0.05555555555555555
70: Bush: month = Month.JANUARY, name = eYJB, GetQuotient = 0.25
71: Tree: age = 35092, name = WehQUpMR, GetQuotient = 0.125
72: Tree: age = 29672, name = NFTnxdCZJGKU, GetQuotient = 0.0
73: Tree: age = 15869, name = mLQTCiZlOIUgMD, GetQuotient = 0.07142857142857142
74: Flower: name = uD, Type = Type.HOUSE, GetQuotient = 0.5
75: Tree: age = 48115, name = ggqnoLxASwTcjLq, GetQuotient = 0.06666666666666667
76: Flower: name = glbWC, Type = Type.HOUSE, GetQuotient = 0.0
77: Tree: age = 21677, name = RqpurmkJqLEqSVGwa, GetQuotient = 0.11764705882352941
78: Bush: month = Month.MARCH, name = SxBHZwdmVcIf, GetQuotient = 0.0
79: Tree: age = 87783, name = GKPkMzYlWkrcVW, GetQuotient = 0.0
80: Tree: age = 28517, name = NhAKD, GetQuotient = 0.0
81: Bush: month = Month.JUNE, name = LHzEGYVYthUWWfqFL, GetQuotient = 0.0
82: Flower: name = XFdDQcHkPU, Type = Type.HOUSE, GetQuotient = 0.0
83: Tree: age = 24613, name = BVZJYBhAn, GetQuotient = 0.0
84: Tree: age = 65459, name = CGAxwyxDbOEzc, GetQuotient = 0.0
85: Tree: age = 35954, name = CbJNtJJ, GetQuotient = 0.0
86: Tree: age = 20762, name = kVXLsgJJbqEZZgSUS, GetQuotient = 0.0
87: Tree: age = 69782, name = JKUOJphRsDJVqEL, GetQuotient = 0.0
88: Bush: month = Month.OCTOBER, name = ccKOMukEZdiHdlbCzAH, GetQuotient = 0.10526315789473684
89: Flower: name = hhEROhsfShal, Type = Type.GARDEN, GetQuotient = 0.08333333333333333
90: Flower: name = QsZInmJDy, Type = Type.WILD, GetQuotient = 0.0
91: Tree: age = 22467, name = nYXuWlSuFT, GetQuotient = 0.2
92: Flower: name = eiSquOxjrqeEDuOlu, Type = Type.GARDEN, GetQuotient = 0.35294117647058826
93: Flower: name = xVVRTenhMgcdZEezGEdk, Type = Type.WILD, GetQuotient = 0.1
94: Bush: month = Month.AUGUST, name = Fs, GetQuotient = 0.0
95: Bush: month = Month.NOVEMBER, name = lrgEmexBOMbhzV, GetQuotient = 0.07142857142857142
96: Bush: month = Month.FEBRUARY, name = EQHqHi, GetQuotient = 0.16666666666666666
97: Tree: age = 48381, name = mZbCioDOqSQYCmxHZijL, GetQuotient = 0.15
98: Bush: month = Month.SEPTEMBER, name = VSfLBDnwRfKICDvSXt, GetQuotient = 0.0
99: Bush: month = Month.APRIL, name = hraJYutRdrGQxkISPtnA, GetQuotient = 0.1
100: Flower: name = cXIVJdpw, Type = Type.WILD, GetQuotient = 0.0
101: Flower: name = fNEZdyCAHyRQUy, Type = Type.GARDEN, GetQuotient = 0.0
102: Bush: month = Month.MARCH, name = USZxF, GetQuotient = 0.0
103: Tree: age = 12007, name = cNw, GetQuotient = 0.0
104: Flower: name = LfIoMvl, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
105: Flower: name = Yth, Type = Type.GARDEN, GetQuotient = 0.0
106: Bush: month = Month.JUNE, name = MeGLLhPRQA, GetQuotient = 0.1
107: Bush: month = Month.JUNE, name = BToeLYTYnjukkDM, GetQuotient = 0.2
108: Tree: age = 98377, name = AN, GetQuotient = 0.0
109: Flower: name = oGXNHMvoHWPbVPvPCevU, Type = Type.WILD, GetQuotient = 0.15
110: Flower: name = lQDbINEFnRXjkbiZzxP, Type = Type.GARDEN, GetQuotient = 0.05263157894736842
111: Bush: month = Month.OCTOBER, name = pGvRxijZgrccNzcvVxuo, GetQuotient = 0.15
112: Flower: name = TC, Type = Type.WILD, GetQuotient = 0.0
113: Flower: name = oyMsTh, Type = Type.HOUSE, GetQuotient = 0.16666666666666666
114: Bush: month = Month.JULY, name = UNIrLSJgMBy, GetQuotient = 0.0
115: Tree: age = 75262, name = xGoBZvxlGDkWpcJW, GetQuotient = 0.0625
116: Bush: month = Month.MAY, name = tCogYXwKolUM, GetQuotient = 0.16666666666666666
117: Bush: month = Month.NOVEMBER, name = mKjDOVwY, GetQuotient = 0.0
118: Flower: name = JzNqIzwMYPOoAG, Type = Type.HOUSE, GetQuotient = 0.07142857142857142
119: Bush: month = Month.JUNE, name = yrHYZJhECMK, GetQuotient = 0.0
120: Tree: age = 22624, name = zyUAndATdvfLhKfw, GetQuotient = 0.0
121: Tree: age = 59432, name = AHSWO, GetQuotient = 0.0
122: Tree: age = 78887, name = BTfJt, GetQuotient = 0.0
123: Tree: age = 75372, name = a, GetQuotient = 1.0
124: Flower: name = zvwudtFBOTVVe, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
125: Flower: name = wOahlKXPPg, Type = Type.HOUSE, GetQuotient = 0.1
126: Bush: month = Month.NOVEMBER, name = KIQUnjpvLjqaJFgfsSVe, GetQuotient = 0.1
127: Bush: month = Month.JUNE, name = EibnM, GetQuotient = 0.2
128: Flower: name = c, Type = Type.HOUSE, GetQuotient = 0.0
129: Bush: month = Month.SEPTEMBER, name = cIiLPa, GetQuotient = 0.3333333333333333
130: Bush: month = Month.NOVEMBER, name = iQnKtBJCqRSPhI, GetQuotient = 0.07142857142857142
131: Tree: age = 57606, name = YPerQtECPIilFS, GetQuotient = 0.14285714285714285
132: Tree: age = 10178, name = NcFxiLrviRwgCBYQqwdC, GetQuotient = 0.1
133: Flower: name = JByqaCzZHRHiOemhWu, Type = Type.GARDEN, GetQuotient = 0.2222222222222222
134: Tree: age = 41473, name = k, GetQuotient = 0.0
135: Flower: name = bd, Type = Type.WILD, GetQuotient = 0.0
136: Tree: age = 26937, name = ziDNQIDSndvnOD, GetQuotient = 0.07142857142857142
137: Tree: age = 10832, name = PZikFXlghZyqbphwgMca, GetQuotient = 0.1
138: Bush: month = Month.JULY, name = tTIyhlMYiAePb, GetQuotient = 0.15384615384615385
139: Tree: age = 71188, name = RQxVoZi, GetQuotient = 0.2857142857142857
140: Tree: age = 2413, name = ahGlpl, GetQuotient = 0.16666666666666666
141: Bush: month = Month.SEPTEMBER, name = gIPYhgQlzjJQuIY, GetQuotient = 0.06666666666666667
142: Flower: name = sufOTTzjy, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
143: Bush: month = Month.APRIL, name = Ms, GetQuotient = 0.0
144: Bush: month = Month.JUNE, name = uEvEsijdgzkzmZuuumjw, GetQuotient = 0.25
145: Flower: name = QhUSxhvBJ, Type = Type.GARDEN, GetQuotient = 0.0
146: Flower: name = zPKo, Type = Type.WILD, GetQuotient = 0.25
147: Bush: month = Month.DECEMBER, name = va, GetQuotient = 0.5
148: Flower: name = WAfEghvSVUBjQlEwI, Type = Type.WILD, GetQuotient = 0.0
149: Flower: name = uEarmdZEZvhyrnpkMZPD, Type = Type.GARDEN, GetQuotient = 0.1
150: Bush: month = Month.OCTOBER, name = CcKPxrbfdi, GetQuotient = 0.1
151: Flower: name = tzLBSqcYlllIylZcWG, Type = Type.WILD, GetQuotient = 0.0
152: Flower: name = cPmIiUxaKkcRAs, Type = Type.WILD, GetQuotient = 0.14285714285714285
153: Flower: name = qjAPEpAEKWCNgMrJEna, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
154: Flower: name = XYVuVAubLkvYBIl, Type = Type.GARDEN, GetQuotient = 0.13333333333333333
155: Tree: age = 34072, name = MBcZcBdHYGMWNF, GetQuotient = 0.0
156: Bush: month = Month.OCTOBER, name = jPFEDVIzFVuATXt, GetQuotient = 0.06666666666666667
157: Bush: month = Month.JULY, name = nDzOhCCsMmFT, GetQuotient = 0.0
158: Flower: name = O, Type = Type.HOUSE, GetQuotient = 0.0
159: Bush: month = Month.APRIL, name = AmKmsSRPmOoiX, GetQuotient = 0.15384615384615385
160: Flower: name = ImJzpEYm, Type = Type.WILD, GetQuotient = 0.0
161: Flower: name = pZRuiikFNJwuNH, Type = Type.HOUSE, GetQuotient = 0.2857142857142857
162: Flower: name = WXrWIT, Type = Type.GARDEN, GetQuotient = 0.0
163: Bush: month = Month.FEBRUARY, name = nYrBCYutN, GetQuotient = 0.1111111111111111
164: Bush: month = Month.FEBRUARY, name = JGpuAmvZtjC, GetQuotient = 0.09090909090909091
165: Flower: name = pzeFkuhAWAOZNfWNWXjw, Type = Type.WILD, GetQuotient = 0.1
166: Tree: age = 77427, name = LPdg, GetQuotient = 0.0
167: Bush: month = Month.MARCH, name = YJLGlcqaUOGFo, GetQuotient = 0.15384615384615385
168: Flower: name = PG, Type = Type.HOUSE, GetQuotient = 0.0
169: Bush: month = Month.OCTOBER, name = aUueLbutIluUYOmAhzWf, GetQuotient = 0.25
170: Tree: age = 96655, name = Y, GetQuotient = 0.0
171: Bush: month = Month.MARCH, name = EogKTWv, GetQuotient = 0.14285714285714285
172: Tree: age = 64696, name = NfuN, GetQuotient = 0.25
173: Tree: age = 56236, name = ADOFHzIffh, GetQuotient = 0.0
174: Bush: month = Month.JULY, name = TcluHEvmh, GetQuotient = 0.1111111111111111
175: Bush: month = Month.MARCH, name = IScKbdJuMepU, GetQuotient = 0.16666666666666666
176: Bush: month = Month.JUNE, name = JmnxuvqchhxYLRzyY, GetQuotient = 0.058823529411764705
177: Tree: age = 93641, name = m, GetQuotient = 0.0
178: Tree: age = 84360, name = flSkebNJgx, GetQuotient = 0.1
179: Bush: month = Month.MARCH, name = MAVRLTYaHrFSJmIcT, GetQuotient = 0.058823529411764705
180: Tree: age = 79105, name = PJXBGmMiKFa, GetQuotient = 0.18181818181818182
181: Bush: month = Month.JULY, name = njE, GetQuotient = 0.0
182: Tree: age = 75224, name = KzJYLzQToXqHsAIRPF, GetQuotient = 0.05555555555555555
183: Flower: name = szCrZRI, Type = Type.GARDEN, GetQuotient = 0.0
184: Tree: age = 58169, name = syldVxEHRjtXCDvkjkEU, GetQuotient = 0.0
185: Bush: month = Month.MARCH, name = wJwuE, GetQuotient = 0.2
186: Tree: age = 39554, name = keSlfMUmLVzGsHxgys, GetQuotient = 0.05555555555555555
187: Tree: age = 52464, name = xtxuMWbYJOfDSL, GetQuotient = 0.07142857142857142
188: Tree: age = 93758, name = JmGMJbKvDtMlkpgAv, GetQuotient = 0.0
189: Flower: name = sHWnGPsW, Type = Type.GARDEN, GetQuotient = 0.0
190: Bush: month = Month.DECEMBER, name = hBrmwiswHRyXXdzB, GetQuotient = 0.0625
191: Tree: age = 99852, name = NvIPPeHgEBrIysTGd, GetQuotient = 0.058823529411764705
192: Flower: name = SjpBptXLeLffrzrcaRtr, Type = Type.GARDEN, GetQuotient = 0.1
193: Flower: name = yaGLQyCkMKmrfQSt, Type = Type.WILD, GetQuotient = 0.0625
194: Tree: age = 31294, name = Nhc, GetQuotient = 0.0
195: Flower: name = KlKxRUkiHXIgPGZOdGyB, Type = Type.HOUSE, GetQuotient = 0.05
196: Bush: month = Month.JULY, name = FKIDj, GetQuotient = 0.0
197: Tree: age = 64011, name = NUaUgKOKpD, GetQuotient = 0.1
198: Tree: age = 26804, name = EvVOxqlu, GetQuotient = 0.125
199: Flower: name = jTWVbwMRQoPVVmvpe, Type = Type.WILD, GetQuotient = 0.11764705882352941
200: Bush: month = Month.FEBRUARY, name = YFJTX, GetQuotient = 0.0
201: Tree: age = 86124, name = mOXSrrUzksPXZGDQ, GetQuotient = 0.0
202: Bush: month = Month.OCTOBER, name = CfmaCHEDzsvMavKHDrQq, GetQuotient = 0.1
203: Tree: age = 59434, name = nhDiq, GetQuotient = 0.2
204: Bush: month = Month.SEPTEMBER, name = gvJwGEkgN, GetQuotient = 0.0
205: Tree: age = 17231, name = ksXkIwvFF, GetQuotient = 0.0
206: Tree: age = 55909, name = twgvWhkcdpiTCO, GetQuotient = 0.07142857142857142
207: Flower: name = PrjAmzEgbhybBXQiU, Type = Type.WILD, GetQuotient = 0.058823529411764705
208: Tree: age = 80723, name = tUQWiqwdzjRVZimcE, GetQuotient = 0.11764705882352941
209: Flower: name = YeukMObZeSmOAKykXAZn, Type = Type.GARDEN, GetQuotient = 0.15
210: Tree: age = 72119, name = hNFouzLvdiDvZQJEUq, GetQuotient = 0.16666666666666666
211: Flower: name = VvvlOWKhjGh, Type = Type.HOUSE, GetQuotient = 0.0
212: Bush: month = Month.FEBRUARY, name = wlxgXd, GetQuotient = 0.0
213: Tree: age = 11051, name = Da, GetQuotient = 0.5
214: Tree: age = 28288, name = BMWC, GetQuotient = 0.0
215: Bush: month = Month.JANUARY, name = cHeM, GetQuotient = 0.25
216: Bush: month = Month.SEPTEMBER, name = UDykCffxyu, GetQuotient = 0.1
217: Flower: name = xbmrsSOiksBeAvkYpCC, Type = Type.WILD, GetQuotient = 0.10526315789473684
218: Bush: month = Month.DECEMBER, name = TnAbcTPeDXuyafC, GetQuotient = 0.2
219: Bush: month = Month.SEPTEMBER, name = DqpdGVsrQpSQBidfiePc, GetQuotient = 0.15
220: Bush: month = Month.JANUARY, name = CMzxxLSLPCmtanPzg, GetQuotient = 0.058823529411764705
221: Bush: month = Month.JULY, name = ONCtIbKYRGpV, GetQuotient = 0.0
222: Bush: month = Month.DECEMBER, name = WyAqOQBzQ, GetQuotient = 0.0
223: Flower: name = ONojXUskuvNXHqOdRIn, Type = Type.HOUSE, GetQuotient = 0.10526315789473684
224: Bush: month = Month.SEPTEMBER, name = un, GetQuotient = 0.5
225: Tree: age = 33830, name = XERqFukBq, GetQuotient = 0.1111111111111111
226: Bush: month = Month.SEPTEMBER, name = eCF, GetQuotient = 0.3333333333333333
227: Bush: month = Month.AUGUST, name = WotRC, GetQuotient = 0.2
228: Flower: name = K, Type = Type.GARDEN, GetQuotient = 0.0
229: Flower: name = LGbjlvqXdUIJ, Type = Type.GARDEN, GetQuotient = 0.0
230: Bush: month = Month.APRIL, name = Keqaao, GetQuotient = 0.6666666666666666
231: Bush: month = Month.MARCH, name = uyCPxjjurRoGUNQ, GetQuotient = 0.2
232: Tree: age = 47256, name = IpwQHApvbBzJCUMCmEyh, GetQuotient = 0.0
233: Tree: age = 5680, name = nqzjzPaEQIboPs, GetQuotient = 0.14285714285714285
234: Bush: month = Month.FEBRUARY, name = xgOzbycEqqhpTBpeL, GetQuotient = 0.058823529411764705
235: Bush: month = Month.MARCH, name = FAc, GetQuotient = 0.0
236: Tree: age = 31021, name = HlUqkqvLTmBjZKNJaV, GetQuotient = 0.05555555555555555
237: Flower: name = ZAwDHilRPXlHqsdr, Type = Type.WILD, GetQuotient = 0.0625
238: Tree: age = 74181, name = gnZcQcSiXKaQgywV, GetQuotient = 0.125
239: Tree: age = 9450, name = PAtFHQGxqS, GetQuotient = 0.0
240: Bush: month = Month.JUNE, name = MMkCKDPcskwBhfhNKj, GetQuotient = 0.0
241: Flower: name = kxlZVK, Type = Type.HOUSE, GetQuotient = 0.0
242: Tree: age = 19568, name = bJnIbwQpk, GetQuotient = 0.0
243: Flower: name = HUFwvwUFgEt, Type = Type.HOUSE, GetQuotient = 0.0
244: Bush: month = Month.MAY, name = wq, GetQuotient = 0.0
245: Tree: age = 51850, name = sYBwy, GetQuotient = 0.0
246: Bush: month = Month.SEPTEMBER, name = QsWltthcPIHs, GetQuotient = 0.0
247: Flower: name = t, Type = Type.GARDEN, GetQuotient = 0.0
248: Tree: age = 20532, name = zYnc, GetQuotient = 0.0
249: Bush: month = Month.JANUARY, name = pWcBPBeALGH, GetQuotient = 0.09090909090909091
250: Tree: age = 91884, name = PluChJVEqkHTuFAVhdJY, GetQuotient = 0.1
251: Tree: age = 5547, name = VV, GetQuotient = 0.0
252: Tree: age = 73706, name = GEKYGtQn, GetQuotient = 0.0
253: Tree: age = 3687, name = PQzbgivPhrTEqaCDgF, GetQuotient = 0.1111111111111111
254: Tree: age = 59412, name = DZjaqSlKvWrpEXh, GetQuotient = 0.06666666666666667
255: Bush: month = Month.NOVEMBER, name = UmdpYEnYQWd, GetQuotient = 0.0
256: Flower: name = FulZGvg, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
257: Bush: month = Month.JUNE, name = gqosq, GetQuotient = 0.2
258: Tree: age = 87195, name = XRsfUZGusDExwmRPzYTD, GetQuotient = 0.05
259: Flower: name = xMBltL, Type = Type.WILD, GetQuotient = 0.0
260: Bush: month = Month.MARCH, name = pungYpbpOqaVFLrCi, GetQuotient = 0.17647058823529413
261: Bush: month = Month.NOVEMBER, name = zf, GetQuotient = 0.0
262: Bush: month = Month.JULY, name = OgCBfPXDHnlpMRfRhwmS, GetQuotient = 0.0
263: Flower: name = vnsWEmFbeormNkn, Type = Type.WILD, GetQuotient = 0.13333333333333333
264: Bush: month = Month.AUGUST, name = VmuMIhIVBQIBnknTaW, GetQuotient = 0.1111111111111111
265: Tree: age = 10731, name = hREZgTlTkKDJc, GetQuotient = 0.0
266: Bush: month = Month.JANUARY, name = HM, GetQuotient = 0.0
267: Tree: age = 84986, name = ckWaJYVlA, GetQuotient = 0.1111111111111111
268: Flower: name = qKiPfrgCIj, Type = Type.WILD, GetQuotient = 0.1
269: Tree: age = 35973, name = Me, GetQuotient = 0.5
270: Tree: age = 81361, name = YLhjJwjpBApwCpMyp, GetQuotient = 0.0
271: Bush: month = Month.MAY, name = gZlKPQGbyzblLytZtbd, GetQuotient = 0.0
272: Bush: month = Month.JANUARY, name = pJMpnbvdPwcivjbx, GetQuotient = 0.0625
273: Bush: month = Month.FEBRUARY, name = gImwTBUBBkWoFnIR, GetQuotient = 0.0625
274: Tree: age = 99324, name = jicKrMxosxjOofuYd, GetQuotient = 0.23529411764705882
275: Tree: age = 90368, name = OKKCmghHlJaRx, GetQuotient = 0.07692307692307693
276: Tree: age = 37907, name = IIwPKerZeJcYxcVpPveW, GetQuotient = 0.15
277: Flower: name = KhEPS, Type = Type.HOUSE, GetQuotient = 0.0
278: Tree: age = 41063, name = evJabVM, GetQuotient = 0.2857142857142857
279: Bush: month = Month.JANUARY, name = eB, GetQuotient = 0.5
280: Tree: age = 92594, name = mTfiDhjpj, GetQuotient = 0.1111111111111111
281: Tree: age = 81531, name = JgawWRtTaX, GetQuotient = 0.2
282: Tree: age = 82735, name = clUPXfvTbbk, GetQuotient = 0.0
283: Bush: month = Month.AUGUST, name = OYAvqZSyO, GetQuotient = 0.0
284: Tree: age = 5085, name = SNDWKlgtUks, GetQuotient = 0.0
285: Flower: name = n, Type = Type.HOUSE, GetQuotient = 0.0
286: Bush: month = Month.APRIL, name = auIUJkxmNyllpm, GetQuotient = 0.14285714285714285
287: Tree: age = 90814, name = KWi, GetQuotient = 0.3333333333333333
288: Bush: month = Month.JANUARY, name = UumAxv, GetQuotient = 0.16666666666666666
289: Flower: name = PnqaydDmnXrawhRvWQN, Type = Type.WILD, GetQuotient = 0.10526315789473684
290: Tree: age = 3205, name = doLrjPt, GetQuotient = 0.14285714285714285
291: Bush: month = Month.OCTOBER, name = atImOUzQVbJ, GetQuotient = 0.09090909090909091
292: Bush: month = Month.DECEMBER, name = MiyaQZJqnlsiBy, GetQuotient = 0.21428571428571427
293: Flower: name = mxxQ, Type = Type.WILD, GetQuotient = 0.0
294: Tree: age = 22696, name = RznYjAfYdwsZO, GetQuotient = 0.0
295: Tree: age = 33685, name = WedoZhCZ, GetQuotient = 0.25
296: Bush: month = Month.OCTOBER, name = kpxQwceXKd, GetQuotient = 0.1
297: Tree: age = 73664, name = JvNAxwEHSXFrRx, GetQuotient = 0.0
298: Tree: age = 88171, name = oWvFF, GetQuotient = 0.2
299: Tree: age = 51378, name = MUbzcbbLeptQW, GetQuotient = 0.07692307692307693
300: Bush: month = Month.AUGUST, name = qDL, GetQuotient = 0.0
301: Flower: name = rwJpWkuJJIsjBm, Type = Type.GARDEN, GetQuotient = 0.07142857142857142
302: Tree: age = 71276, name = yRLIGSU, GetQuotient = 0.0
303: Tree: age = 80563, name = FixeY, GetQuotient = 0.4
304: Flower: name = lphlQ, Type = Type.WILD, GetQuotient = 0.0
305: Flower: name = rGGqodhotmFgwW, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
306: Tree: age = 45184, name = SRpe, GetQuotient = 0.25
307: Flower: name = TBl, Type = Type.WILD, GetQuotient = 0.0
308: Flower: name = oyaKVrMnRDmgudQRpBcW, Type = Type.GARDEN, GetQuotient = 0.15
309: Flower: name = NPKiCwaywTNiJdDKpJF, Type = Type.HOUSE, GetQuotient = 0.15789473684210525
310: Bush: month = Month.OCTOBER, name = bRAnwbGqVrdxZHvaz, GetQuotient = 0.058823529411764705
311: Bush: month = Month.NOVEMBER, name = GbMdIeq, GetQuotient = 0.14285714285714285
312: Flower: name = XJMuttipiadBeehzRMX, Type = Type.HOUSE, GetQuotient = 0.3157894736842105
313: Bush: month = Month.MAY, name = DdJN, GetQuotient = 0.0
314: Flower: name = SDPp, Type = Type.GARDEN, GetQuotient = 0.0
315: Tree: age = 37489, name = rNSLmHGkNjfZBAkD, GetQuotient = 0.0
316: Tree: age = 97757, name = kLHWVCsvYi, GetQuotient = 0.1
317: Flower: name = OLghkl, Type = Type.WILD, GetQuotient = 0.0
318: Bush: month = Month.APRIL, name = KJcoeDUA, GetQuotient = 0.25
319: Flower: name = uhqkZXWobGBGgVBoT, Type = Type.WILD, GetQuotient = 0.17647058823529413
320: Tree: age = 77664, name = bovmzCuifLSD, GetQuotient = 0.25
321: Bush: month = Month.MAY, name = OI, GetQuotient = 0.0
322: Bush: month = Month.MAY, name = ecuUgtcHSmGw, GetQuotient = 0.16666666666666666
323: Tree: age = 25676, name = vkbMDMXR, GetQuotient = 0.0
324: Flower: name = CJnigl, Type = Type.WILD, GetQuotient = 0.16666666666666666
325: Bush: month = Month.JANUARY, name = GqavccsSbbnny, GetQuotient = 0.07692307692307693
326: Tree: age = 49695, name = Yx, GetQuotient = 0.0
327: Bush: month = Month.AUGUST, name = QTkPcwred, GetQuotient = 0.1111111111111111
328: Tree: age = 99598, name = prIJOA, GetQuotient = 0.0
329: Bush: month = Month.JUNE, name = ekmOCUGxTlNga, GetQuotient = 0.15384615384615385
