Sorted container:
Container is store 10000 plants:
0: Tree: age = 75372, name = a, GetQuotient = 1.0
135: Tree: age = 15506, name = iD, GetQuotient = 0.5
136: Flower: name = eD, Type = Type.HOUSE, GetQuotient = 0.5
137: Flower: name = koeX, Type = Type.GARDEN, GetQuotient = 0.5
138: Tree: age = 4720, name = Ka, GetQuotient = 0.5
139: Bush: month = Month.MARCH, name = iy, GetQuotient = 0.5
140: Bush: month = Month.JUNE, name = en, GetQuotient = 0.5
141: Bush: month = Month.JANUARY, name = Yi, GetQuotient = 0.5
142: Bush: month = Month.NOVEMBER, name = ho, GetQuotient = 0.5
143: Bush: month = Month.MARCH, name = ru, GetQuotient = 0.5
144: Tree: age = 32634, name = yu, GetQuotient = 0.5
145: Bush: month = Month.APRIL, name = iqeS, GetQuotient = 0.5
146: Flower: name = vo, Type = Type.WILD, GetQuotient = 0.5
147: Flower: name = uA, Type = Type.WILD, GetQuotient = 0.5
148: Flower: name = ih, Type = Type.HOUSE, GetQuotient = 0.5
149: Flower: name = oG, Type = Type.WILD, GetQuotient = 0.5
150: Bush: month = Month.DECEMBER, name = eF, GetQuotient = 0.5
151: Tree: age = 96199, name = iz, GetQuotient = 0.5
152: Bush: month = Month.JANUARY, name = ip, GetQuotient = 0.5
153: Bush: month = Month.NOVEMBER, name = yo, GetQuotient = 0.5
154: Flower: name = ho, Type = Type.WILD, GetQuotient = 0.5
155: Flower: name = eW, Type = Type.WILD, GetQuotient = 0.5
156: Flower: name = eaZx, Type = Type.HOUSE, GetQuotient = 0.5
157: Flower: name = Ye, Type = Type.WILD, GetQuotient = 0.5
158: Bush: month = Month.NOVEMBER, name = ek, GetQuotient = 0.5
159: Flower: name = Xa, Type = Type.WILD, GetQuotient = 0.5
160: Flower: name = aE, Type = Type.WILD, GetQuotient = 0.5
161: Bush: month = Month.JANUARY, name = gaIDfaeu, GetQuotient = 0.5
162: Tree: age = 61255, name = Uo, GetQuotient = 0.5
163: Bush: month = Month.AUGUST, name = ix, GetQuotient = 0.5
164: Tree: age = 89760, name = ik, GetQuotient = 0.5
165: Bush: month = Month.MARCH, name = We, GetQuotient = 0.5
166: Bush: month = Month.OCTOBER, name = Ia, GetQuotient = 0.5
167: Bush: month = Month.JUNE, name = we, GetQuotient = 0.5
168: Tree: age = 74371, name = eC, GetQuotient = 0.5
169: Flower: name = el, Type = Type.GARDEN, GetQuotient = 0.5
170: Flower: name = oB, Type = Type.WILD, GetQuotient = 0.5
171: Bush: month = Month.JANUARY, name = uR, GetQuotient = 0.5
172: Tree: age = 55333, name = re, GetQuotient = 0.5
173: Flower: name = oTsa, Type = Type.HOUSE, GetQuotient = 0.5
174: Tree: age = 22984, name = Nu, GetQuotient = 0.5
175: Tree: age = 29685, name = BeGa, GetQuotient = 0.5
176: Flower: name = iSyi, Type = Type.WILD, GetQuotient = 0.5
177: Flower: name = Za, Type = Type.HOUSE, GetQuotient = 0.5
178: Flower: name = eZ, Type = Type.HOUSE, GetQuotient = 0.5
179: Tree: age = 17177, name = We, GetQuotient = 0.5
180: Bush: month = Month.DECEMBER, name = Wo, GetQuotient = 0.5
181: Bush: month = Month.JULY, name = Na, GetQuotient = 0.5
182: Flower: name = ga, Type = Type.HOUSE, GetQuotient = 0.5
183: Flower: name = iM, Type = Type.HOUSE, GetQuotient = 0.5
184: Tree: age = 15422, name = ah, GetQuotient = 0.5
185: Bush: month = Month.APRIL, name = va, GetQuotient = 0.5
186: Flower: name = eB, Type = Type.HOUSE, GetQuotient = 0.5
187: Tree: age = 86906, name = uF, GetQuotient = 0.5
188: Bush: month = Month.JUNE, name = Io, GetQuotient = 0.5
189: Bush: month = Month.JULY, name = ra, GetQuotient = 0.5
190: Flower: name = ci, Type = Type.GARDEN, GetQuotient = 0.5
191: Flower: name = Cu, Type = Type.WILD, GetQuotient = 0.5
192: Flower: name = xa, Type = Type.WILD, GetQuotient = 0.5
193: Bush: month = Month.SEPTEMBER, name = iK, GetQuotient = 0.5
194: Bush: month = Month.DECEMBER, name = uPSqKKieuarqe, GetQuotient = 0.46153846153846156
195: Tree: age = 79449, name = aauyiutCxvj, GetQuotient = 0.45454545454545453
196: Flower: name = loxuxtcouul, Type = Type.HOUSE, GetQuotient = 0.45454545454545453
197: Tree: age = 47937, name = fkueoHSGa, GetQuotient = 0.4444444444444444
198: Flower: name = ijkuPhiem, Type = Type.WILD, GetQuotient = 0.4444444444444444
199: Tree: age = 63665, name = KBjdeuowu, GetQuotient = 0.4444444444444444
200: Bush: month = Month.NOVEMBER, name = CilaulaJV, GetQuotient = 0.4444444444444444
201: Tree: age = 13065, name = irTCtesao, GetQuotient = 0.4444444444444444
202: Tree: age = 54917, name = oWhaRIEoi, GetQuotient = 0.4444444444444444
203: Flower: name = oLHsuuveXlEorzoo, Type = Type.WILD, GetQuotient = 0.4375
204: Tree: age = 9804, name = iAonLuT, GetQuotient = 0.42857142857142855
205: Bush: month = Month.APRIL, name = yumiQaV, GetQuotient = 0.42857142857142855
206: Tree: age = 81185, name = aapSeAh, GetQuotient = 0.42857142857142855
207: Bush: month = Month.JUNE, name = dhuozBi, GetQuotient = 0.42857142857142855
208: Tree: age = 13314, name = IboJiiX, GetQuotient = 0.42857142857142855
209: Bush: month = Month.SEPTEMBER, name = iYoNAem, GetQuotient = 0.42857142857142855
210: Flower: name = ByQobuuNOpireaAiaWH, Type = Type.WILD, GetQuotient = 0.42105263157894735
211: Tree: age = 75246, name = euKseUebioKWixRvX, GetQuotient = 0.4117647058823529
212: Tree: age = 40775, name = naaAUOqioaHsLPFui, GetQuotient = 0.4117647058823529
213: Tree: age = 26024, name = aOiOC, GetQuotient = 0.4
214: Tree: age = 80563, name = FixeY, GetQuotient = 0.4
215: Flower: name = oQTpu, Type = Type.HOUSE, GetQuotient = 0.4
216: Flower: name = Quyoq, Type = Type.GARDEN, GetQuotient = 0.4
217: Tree: age = 40664, name = elweK, GetQuotient = 0.4
218: Bush: month = Month.MARCH, name = uQvCi, GetQuotient = 0.4
219: Flower: name = FxDia, Type = Type.GARDEN, GetQuotient = 0.4
220: Flower: name = FtuVu, Type = Type.WILD, GetQuotient = 0.4
221: Tree: age = 22411, name = irsJo, GetQuotient = 0.4
222: Flower: name = fFulo, Type = Type.GARDEN, GetQuotient = 0.4
223: Tree: age = 73780, name = oKuvs, GetQuotient = 0.4
224: Tree: age = 24911, name = WunOi, GetQuotient = 0.4
225: Flower: name = luipD, Type = Type.WILD, GetQuotient = 0.4
226: Bush: month = Month.MARCH, name = davaN, GetQuotient = 0.4
227: Tree: age = 6074, name = iYmoW, GetQuotient = 0.4
228: Tree: age = 80478, name = eaCJg, GetQuotient = 0.4
229: Flower: name = oIdoE, Type = Type.GARDEN, GetQuotient = 0.4
230: Tree: age = 70743, name = jeocA, GetQuotient = 0.4
231: Tree: age = 79191, name = waOaV, GetQuotient = 0.4
232: Tree: age = 38463, name = wbPoe, GetQuotient = 0.4
233: Tree: age = 8481, name = coEap, GetQuotient = 0.4
234: Bush: month = Month.JANUARY, name = JwieV, GetQuotient = 0.4
235: Bush: month = Month.DECEMBER, name = ueDPs, GetQuotient = 0.4
236: Flower: name = Kisax, Type = Type.WILD, GetQuotient = 0.4
237: Bush: month = Month.MARCH, name = jkogu, GetQuotient = 0.4
238: Flower: name = oTbFu, Type = Type.HOUSE, GetQuotient = 0.4
239: Bush: month = Month.MAY, name = SadiF, GetQuotient = 0.4
240: Tree: age = 62051, name = ueKmE, GetQuotient = 0.4
241: Flower: name = yEPloIiOnAieoiv, Type = Type.GARDEN, GetQuotient = 0.4
242: Bush: month = Month.APRIL, name = aoZhUuiNWd, GetQuotient = 0.4
243: Flower: name = kuMoP, Type = Type.HOUSE, GetQuotient = 0.4
244: Tree: age = 38241, name = IwuDmkogua, GetQuotient = 0.4
245: Tree: age = 55702, name = ioXaEvdfre, GetQuotient = 0.4
246: Flower: name = UNaueaJKwkIoENa, Type = Type.GARDEN, GetQuotient = 0.4
247: Flower: name = bgipo, Type = Type.HOUSE, GetQuotient = 0.4
248: Bush: month = Month.MAY, name = zzoaO, GetQuotient = 0.4
249: Tree: age = 67544, name = HuiUx, GetQuotient = 0.4
250: Flower: name = xecZa, Type = Type.GARDEN, GetQuotient = 0.4
251: Tree: age = 70157, name = aUeLf, GetQuotient = 0.4
252: Tree: age = 96520, name = pubSu, GetQuotient = 0.4
253: Tree: age = 46889, name = KIBjauexaoHTQ, GetQuotient = 0.38461538461538464
254: Bush: month = Month.MARCH, name = nJiuDiNhfuGqi, GetQuotient = 0.38461538461538464
255: Flower: name = chogYWBuompau, Type = Type.HOUSE, GetQuotient = 0.38461538461538464
256: Tree: age = 13937, name = xeNJeesq, GetQuotient = 0.375
257: Tree: age = 25128, name = QcvaIyue, GetQuotient = 0.375
258: Flower: name = GMdHlaeu, Type = Type.GARDEN, GetQuotient = 0.375
259: Bush: month = Month.DECEMBER, name = yluKKeCa, GetQuotient = 0.375
260: Flower: name = XZuiDihN, Type = Type.HOUSE, GetQuotient = 0.375
261: Bush: month = Month.JUNE, name = MuyHyemu, GetQuotient = 0.375
262: Tree: age = 41883, name = lcoKatli, GetQuotient = 0.375
263: Bush: month = Month.NOVEMBER, name = JaypepEe, GetQuotient = 0.375
264: Bush: month = Month.JUNE, name = dtelagmu, GetQuotient = 0.375
265: Tree: age = 57148, name = GuSvkVee, GetQuotient = 0.375
266: Bush: month = Month.FEBRUARY, name = xuBgaLOe, GetQuotient = 0.375
267: Tree: age = 38061, name = OoaaYgxr, GetQuotient = 0.375
268: Bush: month = Month.AUGUST, name = eRtuwSZu, GetQuotient = 0.375
269: Tree: age = 21750, name = MziEMiba, GetQuotient = 0.375
270: Bush: month = Month.AUGUST, name = CGyHkoao, GetQuotient = 0.375
271: Flower: name = aUxaphac, Type = Type.GARDEN, GetQuotient = 0.375
272: Bush: month = Month.DECEMBER, name = auHirrrM, GetQuotient = 0.375
273: Flower: name = uZisGKte, Type = Type.HOUSE, GetQuotient = 0.375
274: Flower: name = eekEoBmC, Type = Type.GARDEN, GetQuotient = 0.375
275: Tree: age = 17730, name = ueSLkulm, GetQuotient = 0.375
276: Bush: month = Month.JANUARY, name = ditaupvY, GetQuotient = 0.375
277: Bush: month = Month.JANUARY, name = lmaHVitobiO, GetQuotient = 0.36363636363636365
278: Bush: month = Month.NOVEMBER, name = iKiwBkLaqpe, GetQuotient = 0.36363636363636365
279: Flower: name = rGkUNeYaeeLiZN, Type = Type.WILD, GetQuotient = 0.35714285714285715
280: Bush: month = Month.DECEMBER, name = GjoiXeyWucFonU, GetQuotient = 0.35714285714285715
281: Tree: age = 37993, name = iUaRUuUDqTeehz, GetQuotient = 0.35714285714285715
282: Tree: age = 79511, name = ohTruAsaiqHxMo, GetQuotient = 0.35714285714285715
283: Tree: age = 16689, name = sYobxwapZuWoit, GetQuotient = 0.35714285714285715
284: Tree: age = 24518, name = ZjRHiciwesOisi, GetQuotient = 0.35714285714285715
285: Flower: name = eiSquOxjrqeEDuOlu, Type = Type.GARDEN, GetQuotient = 0.35294117647058826
286: Tree: age = 70753, name = DZWuEreeRBoFAFeoT, GetQuotient = 0.35294117647058826
287: Tree: age = 24023, name = aNBXKhCrosaWAaauh, GetQuotient = 0.35294117647058826
288: Tree: age = 68115, name = oSsUuEOSXPuiuaBRT, GetQuotient = 0.35294117647058826
289: Tree: age = 1126, name = eYs, GetQuotient = 0.3333333333333333
290: Bush: month = Month.SEPTEMBER, name = cIiLPa, GetQuotient = 0.3333333333333333
291: Bush: month = Month.SEPTEMBER, name = eCF, GetQuotient = 0.3333333333333333
292: Tree: age = 90814, name = KWi, GetQuotient = 0.3333333333333333
293: Bush: month = Month.JUNE, name = WPiFeG, GetQuotient = 0.3333333333333333
294: Flower: name = saWQoB, Type = Type.WILD, GetQuotient = 0.3333333333333333
295: Bush: month = Month.JULY, name = piaPjeISO, GetQuotient = 0.3333333333333333
296: Bush: month = Month.SEPTEMBER, name = aCc, GetQuotient = 0.3333333333333333
297: Bush: month = Month.JULY, name = iQZ, GetQuotient = 0.3333333333333333
298: Tree: age = 22547, name = iLAuiskolxvnoKfJPa, GetQuotient = 0.3333333333333333
299: Tree: age = 3828, name = jum, GetQuotient = 0.3333333333333333
300: Tree: age = 79998, name = Mxe, GetQuotient = 0.3333333333333333
301: Bush: month = Month.AUGUST, name = eyy, GetQuotient = 0.3333333333333333
302: Tree: age = 51249, name = ovm, GetQuotient = 0.3333333333333333
303: Tree: age = 87887, name = Sba, GetQuotient = 0.3333333333333333
304: Flower: name = XeL, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
305: Flower: name = uLY, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
306: Tree: age = 29698, name = lye, GetQuotient = 0.3333333333333333
307: Tree: age = 17155, name = iEHOuaSeZXUFoGw, GetQuotient = 0.3333333333333333
308: Bush: month = Month.MAY, name = TuhXMu, GetQuotient = 0.3333333333333333
309: Bush: month = Month.MARCH, name = evioJeQqxkdicWE, GetQuotient = 0.3333333333333333
310: Tree: age = 46126, name = loyuaYYjw, GetQuotient = 0.3333333333333333
311: Bush: month = Month.APRIL, name = Nom, GetQuotient = 0.3333333333333333
312: Tree: age = 12199, name = iZmaXC, GetQuotient = 0.3333333333333333
313: Bush: month = Month.FEBRUARY, name = aeqhfw, GetQuotient = 0.3333333333333333
314: Bush: month = Month.JANUARY, name = oJvxiK, GetQuotient = 0.3333333333333333
315: Tree: age = 61787, name = taLjwa, GetQuotient = 0.3333333333333333
316: Flower: name = Zwa, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
317: Bush: month = Month.JUNE, name = oufnJNecy, GetQuotient = 0.3333333333333333
318: Bush: month = Month.JANUARY, name = xtejwZluoMki, GetQuotient = 0.3333333333333333
319: Bush: month = Month.APRIL, name = teg, GetQuotient = 0.3333333333333333
320: Tree: age = 17605, name = xun, GetQuotient = 0.3333333333333333
321: Tree: age = 89119, name = BaOqem, GetQuotient = 0.3333333333333333
322: Tree: age = 22001, name = Vco, GetQuotient = 0.3333333333333333
323: Flower: name = tRVHei, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
324: Flower: name = kWi, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
325: Tree: age = 49767, name = EiuRTc, GetQuotient = 0.3333333333333333
326: Tree: age = 26027, name = haY, GetQuotient = 0.3333333333333333
327: Flower: name = pucumO, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
328: Tree: age = 92755, name = Wud, GetQuotient = 0.3333333333333333
329: Flower: name = onZuZf, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
330: Tree: age = 43189, name = Buq, GetQuotient = 0.3333333333333333
331: Tree: age = 30802, name = aYB, GetQuotient = 0.3333333333333333
332: Bush: month = Month.NOVEMBER, name = liMfeE, GetQuotient = 0.3333333333333333
333: Flower: name = liHLic, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
334: Tree: age = 36395, name = Xse, GetQuotient = 0.3333333333333333
335: Tree: age = 39862, name = ZacoQF, GetQuotient = 0.3333333333333333
336: Tree: age = 63628, name = CEaQuW, GetQuotient = 0.3333333333333333
337: Tree: age = 15782, name = Hum, GetQuotient = 0.3333333333333333
338: Bush: month = Month.MARCH, name = CebVzi, GetQuotient = 0.3333333333333333
339: Flower: name = Yog, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
340: Bush: month = Month.JUNE, name = ZaQ, GetQuotient = 0.3333333333333333
341: Flower: name = qUFbio, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
342: Tree: age = 8024, name = uYY, GetQuotient = 0.3333333333333333
343: Tree: age = 41263, name = zoNozx, GetQuotient = 0.3333333333333333
344: Bush: month = Month.JANUARY, name = iTc, GetQuotient = 0.3333333333333333
345: Flower: name = xVi, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
346: Bush: month = Month.JULY, name = xaaffm, GetQuotient = 0.3333333333333333
347: Tree: age = 45908, name = qeD, GetQuotient = 0.3333333333333333
348: Bush: month = Month.JUNE, name = zokUCo, GetQuotient = 0.3333333333333333
349: Tree: age = 54480, name = uQoziQPIJ, GetQuotient = 0.3333333333333333
350: Flower: name = Bzqeli, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
351: Flower: name = eQp, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
352: Tree: age = 59412, name = UiB, GetQuotient = 0.3333333333333333
353: Flower: name = DooRhBowy, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
354: Flower: name = SKe, Type = Type.WILD, GetQuotient = 0.3333333333333333
355: Flower: name = NiMrJa, Type = Type.WILD, GetQuotient = 0.3333333333333333
356: Bush: month = Month.JUNE, name = tUliCe, GetQuotient = 0.3333333333333333
357: Flower: name = niP, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
358: Flower: name = gpi, Type = Type.WILD, GetQuotient = 0.3333333333333333
359: Bush: month = Month.MAY, name = JPUaoM, GetQuotient = 0.3333333333333333
360: Flower: name = huC, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
361: Tree: age = 68784, name = gUxruo, GetQuotient = 0.3333333333333333
362: Flower: name = VImGlimae, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
363: Flower: name = CXo, Type = Type.WILD, GetQuotient = 0.3333333333333333
364: Tree: age = 61517, name = nOi, GetQuotient = 0.3333333333333333
365: Bush: month = Month.OCTOBER, name = eGX, GetQuotient = 0.3333333333333333
366: Flower: name = Sge, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
367: Bush: month = Month.FEBRUARY, name = LZPiavpoVpYa, GetQuotient = 0.3333333333333333
368: Tree: age = 60349, name = cavuWaDbeSDuPtx, GetQuotient = 0.3333333333333333
369: Flower: name = Qon, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
370: Bush: month = Month.AUGUST, name = eGW, GetQuotient = 0.3333333333333333
371: Bush: month = Month.MARCH, name = ilc, GetQuotient = 0.3333333333333333
372: Tree: age = 42882, name = ocy, GetQuotient = 0.3333333333333333
373: Bush: month = Month.DECEMBER, name = kNZaVu, GetQuotient = 0.3333333333333333
374: Flower: name = VaV, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
375: Tree: age = 287, name = oSC, GetQuotient = 0.3333333333333333
376: Tree: age = 59206, name = yeuXCBEel, GetQuotient = 0.3333333333333333
377: Tree: age = 59193, name = oshotFpiT, GetQuotient = 0.3333333333333333
378: Bush: month = Month.MAY, name = Pos, GetQuotient = 0.3333333333333333
379: Bush: month = Month.FEBRUARY, name = ToliuYrtAoLaedHwhE, GetQuotient = 0.3333333333333333
380: Tree: age = 83249, name = Gub, GetQuotient = 0.3333333333333333
