Sorted container:
Container is store 1000 plants:
0: Bush: month = Month.SEPTEMBER, name = a, GetQuotient = 1.0
47: Bush: month = Month.AUGUST, name = FDu, GetQuotient = 0.3333333333333333
48: Tree: age = 56997, name = elI, GetQuotient = 0.3333333333333333
49: Tree: age = 83855, name = diM, GetQuotient = 0.3333333333333333
50: Flower: name = ikF, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
51: Bush: month = Month.JANUARY, name = PFe, GetQuotient = 0.3333333333333333
52: Bush: month = Month.MAY, name = eXUeZXBwu, GetQuotient = 0.3333333333333333
53: Bush: month = Month.JUNE, name = KeR, GetQuotient = 0.3333333333333333
54: Flower: name = BzGGEiiucIqo, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
55: Flower: name = aPhauMjgW, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
56: Bush: month = Month.APRIL, name = BHa, GetQuotient = 0.3333333333333333
57: Flower: name = vpu, Type = Type.WILD, GetQuotient = 0.3333333333333333
58: Bush: month = Month.MARCH, name = WZiWLSuAJqeqi, GetQuotient = 0.3076923076923077
59: Bush: month = Month.APRIL, name = CupNqTuzMu, GetQuotient = 0.3
60: Tree: age = 23073, name = YiTdyDJGoe, GetQuotient = 0.3
61: Tree: age = 76478, name = WApNeqenid, GetQuotient = 0.3
62: Bush: month = Month.FEBRUARY, name = opeepBdeVMaXCcxXh, GetQuotient = 0.29411764705882354
63: Flower: name = eYKJmoE, Type = Type.GARDEN, GetQuotient = 0.2857142857142857
64: Flower: name = uiHCSdB, Type = Type.WILD, GetQuotient = 0.2857142857142857
65: Tree: age = 97300, name = aJsUviw, GetQuotient = 0.2857142857142857
66: Flower: name = fWOgiBe, Type = Type.WILD, GetQuotient = 0.2857142857142857
67: Flower: name = uuTJXAW, Type = Type.WILD, GetQuotient = 0.2857142857142857
68: Bush: month = Month.NOVEMBER, name = bGneupn, GetQuotient = 0.2857142857142857
69: Flower: name = cSsCeor, Type = Type.GARDEN, GetQuotient = 0.2857142857142857
70: Bush: month = Month.MARCH, name = vDeiAdAoigZPdggjiU, GetQuotient = 0.2777777777777778
71: Bush: month = Month.OCTOBER, name = yIVuygaSeGg, GetQuotient = 0.2727272727272727
72: Bush: month = Month.SEPTEMBER, name = PhZepurQOqa, GetQuotient = 0.2727272727272727
73: Flower: name = oFUiVoVFkkg, Type = Type.WILD, GetQuotient = 0.2727272727272727
74: Flower: name = hreKQuMAGUo, Type = Type.WILD, GetQuotient = 0.2727272727272727
75: Flower: name = zEUjoojVeYiDFTf, Type = Type.WILD, GetQuotient = 0.26666666666666666
76: Bush: month = Month.MARCH, name = mCuXeIgV, GetQuotient = 0.25
77: Tree: age = 85910, name = gzNGIelVIkEieZPiluAM, GetQuotient = 0.25
78: Tree: age = 83813, name = yPawxCovsFPo, GetQuotient = 0.25
79: Bush: month = Month.APRIL, name = sGTDYuGwDePa, GetQuotient = 0.25
80: Bush: month = Month.MAY, name = iyzbduDesAaHBdNG, GetQuotient = 0.25
81: Flower: name = PfawLPwa, Type = Type.HOUSE, GetQuotient = 0.25
82: Tree: age = 96920, name = ybeDYUKiWaiQITbm, GetQuotient = 0.25
83: Tree: age = 36075, name = UfMiCicS, GetQuotient = 0.25
84: Tree: age = 25396, name = WOIbIacasiRD, GetQuotient = 0.25
85: Flower: name = EBwoEDVo, Type = Type.HOUSE, GetQuotient = 0.25
86: Flower: name = OTiiEEtPxYfQnsaCZoqu, Type = Type.GARDEN, GetQuotient = 0.25
87: Flower: name = IeSX, Type = Type.HOUSE, GetQuotient = 0.25
88: Bush: month = Month.JULY, name = YIuj, GetQuotient = 0.25
89: Tree: age = 74468, name = oWkZWvMioOHcamsV, GetQuotient = 0.25
90: Flower: name = XlNa, Type = Type.HOUSE, GetQuotient = 0.25
91: Tree: age = 79730, name = eOJt, GetQuotient = 0.25
92: Bush: month = Month.JANUARY, name = oTFs, GetQuotient = 0.25
93: Bush: month = Month.MARCH, name = TZaY, GetQuotient = 0.25
94: Bush: month = Month.OCTOBER, name = UePv, GetQuotient = 0.25
95: Flower: name = FwajNWiH, Type = Type.WILD, GetQuotient = 0.25
96: Flower: name = ZaiZKklKrdVSDaru, Type = Type.WILD, GetQuotient = 0.25
97: Bush: month = Month.DECEMBER, name = BwoG, GetQuotient = 0.25
98: Tree: age = 49012, name = axKA, GetQuotient = 0.25
99: Flower: name = AaGz, Type = Type.WILD, GetQuotient = 0.25
100: Bush: month = Month.AUGUST, name = Nkdu, GetQuotient = 0.25
101: Tree: age = 70337, name = kLid, GetQuotient = 0.25
102: Bush: month = Month.DECEMBER, name = nLVogeCcrGuxmWoRN, GetQuotient = 0.23529411764705882
103: Bush: month = Month.JULY, name = vpaZohJtCuoIxkDAT, GetQuotient = 0.23529411764705882
104: Bush: month = Month.NOVEMBER, name = lPyiKmgeIZuTeqNsR, GetQuotient = 0.23529411764705882
105: Tree: age = 64069, name = NosWBKwuyGaIyxiTP, GetQuotient = 0.23529411764705882
106: Tree: age = 11314, name = oBSNleeYnXwAQwGuq, GetQuotient = 0.23529411764705882
107: Bush: month = Month.MAY, name = wemXKMAupPffi, GetQuotient = 0.23076923076923078
108: Flower: name = CtJZaotKypiVY, Type = Type.WILD, GetQuotient = 0.23076923076923078
109: Bush: month = Month.JUNE, name = sCWmaFfYaJmus, GetQuotient = 0.23076923076923078
110: Bush: month = Month.JANUARY, name = olOiLJYXq, GetQuotient = 0.2222222222222222
111: Bush: month = Month.APRIL, name = rgcNQleFe, GetQuotient = 0.2222222222222222
112: Tree: age = 12004, name = NgtojiJDW, GetQuotient = 0.2222222222222222
113: Tree: age = 24483, name = xGzeuDvxJ, GetQuotient = 0.2222222222222222
114: Tree: age = 80786, name = eWUhJiQFV, GetQuotient = 0.2222222222222222
115: Tree: age = 87960, name = iypwsgpaw, GetQuotient = 0.2222222222222222
116: Bush: month = Month.JANUARY, name = xWiakxELd, GetQuotient = 0.2222222222222222
117: Flower: name = qeaftIYWB, Type = Type.WILD, GetQuotient = 0.2222222222222222
118: Tree: age = 38691, name = kProlZaJx, GetQuotient = 0.2222222222222222
119: Flower: name = FdvbDJugu, Type = Type.GARDEN, GetQuotient = 0.2222222222222222
120: Bush: month = Month.APRIL, name = iMXuWUErSIwaOv, GetQuotient = 0.21428571428571427
121: Tree: age = 43350, name = TpBnKdlSyeoMib, GetQuotient = 0.21428571428571427
122: Tree: age = 78921, name = gucJPbkVMinWuv, GetQuotient = 0.21428571428571427
123: Tree: age = 27677, name = aDwHYidDDLXLeZ, GetQuotient = 0.21428571428571427
124: Tree: age = 55636, name = opioyTNndvShLY, GetQuotient = 0.21428571428571427
125: Tree: age = 3596, name = OWuJFjGrzeoCpU, GetQuotient = 0.21428571428571427
126: Tree: age = 10331, name = iBYyXwqpxroCTFoOaEs, GetQuotient = 0.21052631578947367
127: Tree: age = 25069, name = bJCDDxukgxCebYpKouB, GetQuotient = 0.21052631578947367
128: Flower: name = SxrbPJtCeAJZejexeDN, Type = Type.GARDEN, GetQuotient = 0.21052631578947367
129: Flower: name = ikLeyWREydERehXeFKH, Type = Type.WILD, GetQuotient = 0.21052631578947367
130: Bush: month = Month.JUNE, name = yutudvOoqmDbBnaRhUU, GetQuotient = 0.21052631578947367
131: Tree: age = 74600, name = TKzisqOZnetaAiOSEyS, GetQuotient = 0.21052631578947367
132: Flower: name = xCSYizRwKu, Type = Type.WILD, GetQuotient = 0.2
133: Bush: month = Month.AUGUST, name = KuDXK, GetQuotient = 0.2
134: Bush: month = Month.NOVEMBER, name = MbgiPsaiyJvipUfjcOPZ, GetQuotient = 0.2
135: Tree: age = 94291, name = BaRmh, GetQuotient = 0.2
136: Bush: month = Month.AUGUST, name = QaeXvrkoBdhkOEm, GetQuotient = 0.2
137: Tree: age = 99204, name = krZIdzhona, GetQuotient = 0.2
138: Bush: month = Month.FEBRUARY, name = DGWoz, GetQuotient = 0.2
139: Bush: month = Month.JUNE, name = eoxQiptmOYxfXbN, GetQuotient = 0.2
140: Flower: name = iSjlcgSEIoXDady, Type = Type.WILD, GetQuotient = 0.2
141: Bush: month = Month.JUNE, name = roklt, GetQuotient = 0.2
142: Flower: name = VjAeX, Type = Type.HOUSE, GetQuotient = 0.2
143: Bush: month = Month.AUGUST, name = ESGcGeixElsXkeD, GetQuotient = 0.2
144: Tree: age = 66514, name = QRIIfaGUFcXveUiVsdte, GetQuotient = 0.2
145: Tree: age = 27396, name = fOtuemISIK, GetQuotient = 0.2
146: Tree: age = 81844, name = JvyGVaNDoY, GetQuotient = 0.2
147: Tree: age = 81232, name = IxiJaynDnElQdgTLAoej, GetQuotient = 0.2
148: Flower: name = iGEcX, Type = Type.HOUSE, GetQuotient = 0.2
149: Flower: name = TcxqyUCJanilavG, Type = Type.WILD, GetQuotient = 0.2
150: Flower: name = ezPOosAaxLZyDYL, Type = Type.GARDEN, GetQuotient = 0.2
151: Bush: month = Month.OCTOBER, name = apZcb, GetQuotient = 0.2
152: Bush: month = Month.AUGUST, name = vjcoqfoEcP, GetQuotient = 0.2
153: Flower: name = MBQXfkRaGa, Type = Type.GARDEN, GetQuotient = 0.2
154: Tree: age = 9641, name = AnplokocvfTeSaGIfUFw, GetQuotient = 0.2
155: Flower: name = ihHYgiDFJL, Type = Type.GARDEN, GetQuotient = 0.2
156: Tree: age = 46547, name = aSOxLOLCioZdsMH, GetQuotient = 0.2
157: Flower: name = adpKB, Type = Type.WILD, GetQuotient = 0.2
158: Flower: name = JNRJe, Type = Type.WILD, GetQuotient = 0.2
159: Bush: month = Month.MARCH, name = uDPTs, GetQuotient = 0.2
160: Bush: month = Month.JULY, name = wZDiC, GetQuotient = 0.2
161: Tree: age = 81899, name = JRCsTazXebvidwhR, GetQuotient = 0.1875
162: Flower: name = wjoLEEvxVWLzuydi, Type = Type.WILD, GetQuotient = 0.1875
163: Bush: month = Month.JANUARY, name = OiGFUhwAQQIMoiGW, GetQuotient = 0.1875
164: Tree: age = 35367, name = aBZlwIoLAxxqERoP, GetQuotient = 0.1875
165: Bush: month = Month.JULY, name = KxCrJYlyULvqeiHa, GetQuotient = 0.1875
166: Flower: name = NAahZDHubJh, Type = Type.GARDEN, GetQuotient = 0.18181818181818182
167: Tree: age = 61776, name = KOgosqJaNwB, GetQuotient = 0.18181818181818182
168: Bush: month = Month.APRIL, name = UgDdaAnafHE, GetQuotient = 0.18181818181818182
169: Bush: month = Month.DECEMBER, name = iihOjvTtOJN, GetQuotient = 0.18181818181818182
170: Flower: name = eQJYbfvnyiT, Type = Type.WILD, GetQuotient = 0.18181818181818182
171: Flower: name = fZZBcDqoekH, Type = Type.GARDEN, GetQuotient = 0.18181818181818182
172: Tree: age = 8642, name = jhsAjNieWRj, GetQuotient = 0.18181818181818182
173: Tree: age = 37743, name = YeMMQjbIssu, GetQuotient = 0.18181818181818182
174: Bush: month = Month.DECEMBER, name = VOVEiLbaXrsEZytaJ, GetQuotient = 0.17647058823529413
175: Flower: name = meoOTpdmgYiZgkxqA, Type = Type.GARDEN, GetQuotient = 0.17647058823529413
176: Flower: name = YtQKjonyykTkffguo, Type = Type.WILD, GetQuotient = 0.17647058823529413
177: Tree: age = 87280, name = wNEwkMizmqtuoVDOl, GetQuotient = 0.17647058823529413
178: Tree: age = 98714, name = TTrIeCWXVHJlRauQZ, GetQuotient = 0.17647058823529413
179: Bush: month = Month.JANUARY, name = BoEMuJdjQaTFWqAKj, GetQuotient = 0.17647058823529413
180: Flower: name = uSNPssKQpoTC, Type = Type.GARDEN, GetQuotient = 0.16666666666666666
181: Flower: name = cxUoggEpOuLR, Type = Type.WILD, GetQuotient = 0.16666666666666666
182: Bush: month = Month.FEBRUARY, name = oOyjkr, GetQuotient = 0.16666666666666666
183: Tree: age = 26651, name = lDrncupAxcnejUxaQF, GetQuotient = 0.16666666666666666
184: Tree: age = 84668, name = YTvZadSwUGiepTdTcZ, GetQuotient = 0.16666666666666666
185: Bush: month = Month.AUGUST, name = CjpnEDBoJIeQ, GetQuotient = 0.16666666666666666
186: Tree: age = 27368, name = iEVxET, GetQuotient = 0.16666666666666666
187: Bush: month = Month.APRIL, name = KvlMYomDFLPa, GetQuotient = 0.16666666666666666
188: Bush: month = Month.DECEMBER, name = AAIGuj, GetQuotient = 0.16666666666666666
189: Tree: age = 7070, name = dufrUd, GetQuotient = 0.16666666666666666
190: Bush: month = Month.AUGUST, name = uFfBqtGIwyfu, GetQuotient = 0.16666666666666666
191: Flower: name = ZAazkVuDwCKT, Type = Type.HOUSE, GetQuotient = 0.16666666666666666
192: Flower: name = lOhwHnOiDbNPDueHLj, Type = Type.WILD, GetQuotient = 0.16666666666666666
193: Flower: name = jkXKqa, Type = Type.WILD, GetQuotient = 0.16666666666666666
194: Bush: month = Month.OCTOBER, name = ZtPLTu, GetQuotient = 0.16666666666666666
195: Bush: month = Month.SEPTEMBER, name = RbLoLd, GetQuotient = 0.16666666666666666
196: Tree: age = 91406, name = iqXDxv, GetQuotient = 0.16666666666666666
197: Tree: age = 46343, name = CneXdT, GetQuotient = 0.16666666666666666
198: Tree: age = 73577, name = GAiyjwIFhTle, GetQuotient = 0.16666666666666666
199: Tree: age = 34522, name = aaoUgkxslNdNMEJDHv, GetQuotient = 0.16666666666666666
200: Tree: age = 61850, name = DufrlA, GetQuotient = 0.16666666666666666
201: Bush: month = Month.OCTOBER, name = rmeADq, GetQuotient = 0.16666666666666666
202: Bush: month = Month.OCTOBER, name = hPJNCMAXsaBexKHYgo, GetQuotient = 0.16666666666666666
203: Bush: month = Month.MAY, name = oqtCnO, GetQuotient = 0.16666666666666666
204: Tree: age = 19004, name = vKPqWLuGegAj, GetQuotient = 0.16666666666666666
205: Flower: name = VClZJe, Type = Type.WILD, GetQuotient = 0.16666666666666666
206: Tree: age = 23354, name = muFOIwBhuHKP, GetQuotient = 0.16666666666666666
207: Tree: age = 1942, name = aCktJemJxBqh, GetQuotient = 0.16666666666666666
208: Tree: age = 5273, name = hKdtYa, GetQuotient = 0.16666666666666666
209: Tree: age = 34638, name = rpKeCkWWdcoV, GetQuotient = 0.16666666666666666
210: Flower: name = rWKaHt, Type = Type.WILD, GetQuotient = 0.16666666666666666
211: Bush: month = Month.MARCH, name = IFopklVKNKOa, GetQuotient = 0.16666666666666666
212: Bush: month = Month.MARCH, name = iBQxFhWdQawW, GetQuotient = 0.16666666666666666
213: Tree: age = 3432, name = NNQgaD, GetQuotient = 0.16666666666666666
214: Tree: age = 86518, name = hNrayb, GetQuotient = 0.16666666666666666
215: Flower: name = CAvuWz, Type = Type.WILD, GetQuotient = 0.16666666666666666
216: Bush: month = Month.MARCH, name = pkuKVN, GetQuotient = 0.16666666666666666
217: Tree: age = 5232, name = rNezacJKYqpSfZWBoC, GetQuotient = 0.16666666666666666
218: Flower: name = tnnfKMuPzUav, Type = Type.HOUSE, GetQuotient = 0.16666666666666666
219: Tree: age = 34042, name = qoRkpW, GetQuotient = 0.16666666666666666
220: Bush: month = Month.DECEMBER, name = OffrHa, GetQuotient = 0.16666666666666666
221: Tree: age = 58309, name = MDdQaS, GetQuotient = 0.16666666666666666
222: Tree: age = 96332, name = oQkkwW, GetQuotient = 0.16666666666666666
223: Tree: age = 33716, name = InRaQbzAaknwJDqiLj, GetQuotient = 0.16666666666666666
224: Bush: month = Month.JUNE, name = OdhoFoRxDgvH, GetQuotient = 0.16666666666666666
225: Tree: age = 68999, name = oUHYxFbYggeB, GetQuotient = 0.16666666666666666
226: Bush: month = Month.NOVEMBER, name = idchyV, GetQuotient = 0.16666666666666666
227: Flower: name = lZkaDx, Type = Type.HOUSE, GetQuotient = 0.16666666666666666
228: Tree: age = 57400, name = CorVqYjuEDJOQrprceR, GetQuotient = 0.15789473684210525
229: Tree: age = 90363, name = LUNGBuccxjkeMyuKVCn, GetQuotient = 0.15789473684210525
230: Tree: age = 21437, name = rJRsffdjemkodZFaEjy, GetQuotient = 0.15789473684210525
231: Bush: month = Month.JANUARY, name = DzjxootxMiMPpmkZAlD, GetQuotient = 0.15789473684210525
232: Tree: age = 98756, name = NFuzcmlkJESaIdglEuH, GetQuotient = 0.15789473684210525
233: Bush: month = Month.AUGUST, name = xCcBoHoCOLenZNJGWdf, GetQuotient = 0.15789473684210525
234: Flower: name = druafjpPnvuDkqRyqcZ, Type = Type.WILD, GetQuotient = 0.15789473684210525
235: Flower: name = AoIzsIBsXJaxsNickRs, Type = Type.HOUSE, GetQuotient = 0.15789473684210525
236: Bush: month = Month.JULY, name = lFvkYdTSoaPKySeDkRB, GetQuotient = 0.15789473684210525
237: Flower: name = atouBKbIGhQjEdfQVGB, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
238: Bush: month = Month.APRIL, name = LWgaPSeBNgjkj, GetQuotient = 0.15384615384615385
239: Tree: age = 22820, name = XKoaDIMkmpmbS, GetQuotient = 0.15384615384615385
240: Tree: age = 41307, name = HmcqpovnBXaBF, GetQuotient = 0.15384615384615385
241: Flower: name = JDcWZLliomHCK, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
242: Flower: name = wLknIceWkPEub, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
243: Bush: month = Month.JANUARY, name = LfQuICpsJhNit, GetQuotient = 0.15384615384615385
244: Bush: month = Month.OCTOBER, name = hJobSHQeWTlZr, GetQuotient = 0.15384615384615385
245: Bush: month = Month.SEPTEMBER, name = qVgMiWqYewvjd, GetQuotient = 0.15384615384615385
246: Flower: name = LfHFoIfoWkqTU, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
247: Tree: age = 76436, name = XvHufTEpuLBIH, GetQuotient = 0.15384615384615385
248: Bush: month = Month.NOVEMBER, name = xfmFBBBdeQoFA, GetQuotient = 0.15384615384615385
249: Bush: month = Month.NOVEMBER, name = RhImiAaIHOABPxzvunJz, GetQuotient = 0.15
250: Tree: age = 29466, name = HIiLKvcaYzxUPaTBNtFv, GetQuotient = 0.15
251: Bush: month = Month.FEBRUARY, name = QyPcvUmAIYaHaODWeVtv, GetQuotient = 0.15
252: Tree: age = 60761, name = xWunehcKtlwkQJZdifxE, GetQuotient = 0.15
253: Tree: age = 29380, name = mnzuyhCgobVLnuGmmxdR, GetQuotient = 0.15
254: Flower: name = HOmjeEzOXxgzliFIuQyn, Type = Type.HOUSE, GetQuotient = 0.15
255: Flower: name = WBReMWvslhPRkhuazXUU, Type = Type.GARDEN, GetQuotient = 0.15
256: Tree: age = 60678, name = ZzXemIS, GetQuotient = 0.14285714285714285
257: Bush: month = Month.JUNE, name = JPrGGpi, GetQuotient = 0.14285714285714285
258: Bush: month = Month.JULY, name = bNHUNtPpUuAiVN, GetQuotient = 0.14285714285714285
259: Flower: name = ACCeSpzIrfowcf, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
260: Bush: month = Month.SEPTEMBER, name = iRJjWBjvdentdx, GetQuotient = 0.14285714285714285
261: Tree: age = 36326, name = wFctDPi, GetQuotient = 0.14285714285714285
262: Flower: name = RbxCbnOeOVoqyr, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
263: Flower: name = yreBLUZUDMRZup, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
264: Flower: name = BhZJgZo, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
265: Flower: name = jJNAarG, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
266: Tree: age = 76372, name = JyokKFJ, GetQuotient = 0.14285714285714285
267: Flower: name = CNbrQuX, Type = Type.WILD, GetQuotient = 0.14285714285714285
268: Bush: month = Month.JULY, name = zsmQASu, GetQuotient = 0.14285714285714285
269: Bush: month = Month.OCTOBER, name = xtGwner, GetQuotient = 0.14285714285714285
270: Bush: month = Month.JULY, name = YEpsorm, GetQuotient = 0.14285714285714285
271: Bush: month = Month.NOVEMBER, name = IxhLiWM, GetQuotient = 0.14285714285714285
272: Tree: age = 70447, name = dbsTilLqabLlGh, GetQuotient = 0.14285714285714285
273: Bush: month = Month.JULY, name = AQjiOzLDasrKCT, GetQuotient = 0.14285714285714285
274: Bush: month = Month.DECEMBER, name = unBYVGI, GetQuotient = 0.14285714285714285
275: Tree: age = 46731, name = kOjmCZqnvrekPo, GetQuotient = 0.14285714285714285
276: Flower: name = nOzYedIiytsnYm, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
277: Tree: age = 51560, name = iGshtsB, GetQuotient = 0.14285714285714285
278: Flower: name = LEtaPyvUPWoQMN, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
279: Flower: name = EhVvTWWejNBoGg, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
280: Tree: age = 61191, name = zjsGohz, GetQuotient = 0.14285714285714285
281: Flower: name = TQaskCC, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
282: Tree: age = 76504, name = ZJowYOX, GetQuotient = 0.14285714285714285
283: Flower: name = zgGlIrViNewPxD, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
284: Bush: month = Month.FEBRUARY, name = mDbVwiE, GetQuotient = 0.14285714285714285
285: Bush: month = Month.APRIL, name = ZfbiBQN, GetQuotient = 0.14285714285714285
286: Bush: month = Month.MAY, name = CeSDWLI, GetQuotient = 0.14285714285714285
287: Flower: name = VyqetyiRAAYGdb, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
288: Flower: name = LGHEgXQitXRiUK, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
289: Flower: name = ewRxvLB, Type = Type.WILD, GetQuotient = 0.14285714285714285
290: Bush: month = Month.JULY, name = vFeqAFb, GetQuotient = 0.14285714285714285
291: Bush: month = Month.JUNE, name = iCYlcgeEJUUWbQ, GetQuotient = 0.14285714285714285
292: Bush: month = Month.FEBRUARY, name = HpDAZIa, GetQuotient = 0.14285714285714285
293: Tree: age = 98657, name = izKnpJd, GetQuotient = 0.14285714285714285
294: Flower: name = zyairUtVWTAjOR, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
295: Bush: month = Month.JANUARY, name = sRsReOG, GetQuotient = 0.14285714285714285
296: Bush: month = Month.NOVEMBER, name = ldTTLiB, GetQuotient = 0.14285714285714285
297: Bush: month = Month.NOVEMBER, name = lQVofSkjkgdXAi, GetQuotient = 0.14285714285714285
298: Bush: month = Month.JUNE, name = VmGyicC, GetQuotient = 0.14285714285714285
299: Flower: name = YGhHovy, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
300: Tree: age = 35837, name = KEacFmS, GetQuotient = 0.14285714285714285
301: Flower: name = jONGebI, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
302: Bush: month = Month.AUGUST, name = NozOcIDNTnIVKu, GetQuotient = 0.14285714285714285
303: Flower: name = UxNWLXe, Type = Type.WILD, GetQuotient = 0.14285714285714285
304: Flower: name = oifzIrKAzDUbNNs, Type = Type.GARDEN, GetQuotient = 0.13333333333333333
305: Tree: age = 36681, name = XFtaalsxJZADwdb, GetQuotient = 0.13333333333333333
306: Bush: month = Month.SEPTEMBER, name = eXSRcvmrRoIbHMF, GetQuotient = 0.13333333333333333
307: Bush: month = Month.FEBRUARY, name = bCAqqjcsJBuarSW, GetQuotient = 0.13333333333333333
308: Tree: age = 43163, name = hagavqqtgnMWApP, GetQuotient = 0.13333333333333333
309: Tree: age = 65694, name = dmKgkdPQWuasTcU, GetQuotient = 0.13333333333333333
310: Flower: name = iMVBdGFhulpbtNs, Type = Type.WILD, GetQuotient = 0.13333333333333333
311: Bush: month = Month.JULY, name = CGfiRazvbJkpXbz, GetQuotient = 0.13333333333333333
312: Flower: name = VypeNqxnRAZiWcB, Type = Type.GARDEN, GetQuotient = 0.13333333333333333
313: Tree: age = 42189, name = XvaXMVDdRzqHGaH, GetQuotient = 0.13333333333333333
314: Tree: age = 54893, name = fqWnuhzHlMeHNgx, GetQuotient = 0.13333333333333333
315: Tree: age = 23986, name = AvNmakcq, GetQuotient = 0.125
316: Bush: month = Month.FEBRUARY, name = MetOXCAv, GetQuotient = 0.125
317: Bush: month = Month.FEBRUARY, name = IknTaPHIofTmfREW, GetQuotient = 0.125
318: Flower: name = iNhKlEUT, Type = Type.WILD, GetQuotient = 0.125
319: Tree: age = 39745, name = VilzVCMp, GetQuotient = 0.125
320: Bush: month = Month.NOVEMBER, name = CasHhNlD, GetQuotient = 0.125
321: Tree: age = 95296, name = uJZfTqTv, GetQuotient = 0.125
